UUID,Council Code,Council Name,Data Type,Data Source,Age Band,Finance Type,Comparative totals,Value
8328110,322,Warrington,Voluntay,Additional Data,-,Income,Income from Better Care Fund,14385
8510101,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,6316
8510102,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1023
8510201,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,21147
8510202,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,11835
8510301,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,4502
8510302,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,2586
8510401,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,7835
8510402,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,4378
8510502,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,0
8510601,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,501
8510602,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,172
8510701,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,3465
8510702,322,Warrington,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,766
8511101,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,4228
8511102,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,685
8511201,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,11386
8511202,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,2887
8511301,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,11373
8511302,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,3287
8511401,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,1366
8511402,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,1109
8511502,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,0
8511601,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,4342
8511602,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,827
8511701,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,8860
8511702,322,Warrington,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,2289
8512101,322,Warrington,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,1560
8512102,322,Warrington,Mandatory,Bridging Year,-,Income,Other Expenditure,427
8513203,322,Warrington,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,322,Warrington,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,1941
8326110,323,Lancashire,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,13545.3352
8328110,323,Lancashire,Voluntay,Additional Data,-,Income,Income from Better Care Fund,25290
8510101,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,17073.49367
8510102,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,4927.423678
8510201,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,124079.0376
8510202,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,51045.85704
8510301,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,43145.80118
8510302,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,737.5962494
8510401,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,29110.82804
8510402,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,20686.42278
8510502,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,9723.57276
8510601,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,10785.32865
8510602,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,2636.589692
8510701,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,20452.02974
8510702,323,Lancashire,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,615.4426578
8511101,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,15114.7518
8511102,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,1337.238129
8511201,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,32555.62566
8511202,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,6980.719932
8511301,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,37308.97365
8511302,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,1034.711156
8511401,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,16571.59408
8511402,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,4387.253142
8511502,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,2114.31249
8511601,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,23372.88397
8511602,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,3386.464984
8511701,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,91655.82825
8511702,323,Lancashire,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,4760.78312
8512101,323,Lancashire,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,5683.952331
8512102,323,Lancashire,Mandatory,Bridging Year,-,Income,Other Expenditure,1326.623982
8513203,323,Lancashire,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,323,Lancashire,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,13545.3352
8326110,324,Blackburn with Darwen,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,393
8328110,324,Blackburn with Darwen,Voluntay,Additional Data,-,Income,Income from Better Care Fund,
8510101,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,14701.986
8510102,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,11603.072
8510201,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,15307
8510202,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,2537
8510301,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,2648
8510302,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,454
8510401,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,851
8510402,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,82
8510502,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,0
8510601,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,609
8510602,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,105
8510701,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,1048
8510702,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,136
8511101,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,16888.014
8511102,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,7480.928
8511201,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,6587
8511202,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,3271
8511301,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,1619
8511302,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,287
8511401,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,2068
8511402,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,283
8511502,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,0
8511601,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,2146
8511602,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,366
8511701,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,6041
8511702,324,Blackburn with Darwen,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,994
8512101,324,Blackburn with Darwen,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,1371
8512102,324,Blackburn with Darwen,Mandatory,Bridging Year,-,Income,Other Expenditure,389
8513203,324,Blackburn with Darwen,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,324,Blackburn with Darwen,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,393
8326110,325,Blackpool,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,1240
8328110,325,Blackpool,Voluntay,Additional Data,-,Income,Income from Better Care Fund,
8510101,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,4451
8510102,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1661
8510201,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,18130
8510202,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,9554
8510301,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,6346
8510302,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,1432
8510401,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,4559
8510402,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,1956
8510502,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,1281
8510601,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,886
8510602,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,83
8510701,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,1336
8510702,325,Blackpool,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,205
8511101,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,3498
8511102,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,1305
8511201,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,3386
8511202,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,194
8511301,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,2630
8511302,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,253
8511401,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,5140
8511402,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,2206
8511502,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,276
8511601,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,1874
8511602,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,37
8511701,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,11228
8511702,325,Blackpool,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,1384
8512101,325,Blackpool,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,4115
8512102,325,Blackpool,Mandatory,Bridging Year,-,Income,Other Expenditure,2808
8513203,325,Blackpool,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,325,Blackpool,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,1240
8326110,326,Cheshire East,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,4124.79
8328110,326,Cheshire East,Voluntay,Additional Data,-,Income,Income from Better Care Fund,
8510101,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,13308.23098
8510102,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,3616.50469
8510201,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,37890.7999
8510202,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,13245.85272
8510301,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,13113.962
8510302,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,373.108
8510401,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,5125.731
8510402,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,3156.517
8510502,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,3489.547
8510601,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,1896.675
8510602,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,13.53
8510701,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,5497.356
8510702,326,Cheshire East,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,259.963
8511101,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,12001.856
8511102,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,1992.084
8511201,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,16643.083
8511202,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,7941.166
8511301,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,15578.744
8511302,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,660
8511401,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,3721.564
8511402,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,0
8511502,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,1655.021
8511601,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,8209.294
8511602,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,0
8511701,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,8138.17
8511702,326,Cheshire East,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,988.648
8512101,326,Cheshire East,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,6315.05
8512102,326,Cheshire East,Mandatory,Bridging Year,-,Income,Other Expenditure,5539.368
8513203,326,Cheshire East,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,326,Cheshire East,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,4124.787
8326110,327,Cheshire West and Chester,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,184
8328110,327,Cheshire West and Chester,Voluntay,Additional Data,-,Income,Income from Better Care Fund,7939
8510101,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,6698.567055
8510102,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1276.5
8510201,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,26238
8510202,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,12441
8510301,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,8060
8510302,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,2214
8510401,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,4328
8510402,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,485.5
8510502,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,1638
8510601,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,4031
8510602,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,556
8510701,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,1283
8510702,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,532.5
8511101,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,6698.567055
8511102,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,1276.5
8511201,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,11071
8511202,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,2392
8511301,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,12365
8511302,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,1482
8511401,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,11301
8511402,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,1152.5
8511502,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,1908
8511601,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,8566
8511602,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,1311
8511701,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,3379
8511702,327,Cheshire West and Chester,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,531.5
8512101,327,Cheshire West and Chester,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,10991
8512102,327,Cheshire West and Chester,Mandatory,Bridging Year,-,Income,Other Expenditure,1511
8513203,327,Cheshire West and Chester,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,327,Cheshire West and Chester,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,184
8326110,404,Warwickshire,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,136
8328110,404,Warwickshire,Voluntay,Additional Data,-,Income,Income from Better Care Fund,
8510101,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,17862
8510102,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1890
8510201,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,43535
8510202,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,17747
8510301,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,21598
8510302,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,33
8510401,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,1832
8510402,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,21
8510502,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,7312
8510601,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,4136
8510602,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,497
8510701,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,6005
8510702,404,Warwickshire,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,534
8511101,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,11437
8511102,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,1210
8511201,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,22814
8511202,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,1398
8511301,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,8675
8511302,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,36
8511401,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,9153
8511402,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,1008
8511502,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,594
8511601,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,11106
8511602,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,303
8511701,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,12652
8511702,404,Warwickshire,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,0
8512101,404,Warwickshire,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,911
8512102,404,Warwickshire,Mandatory,Bridging Year,-,Income,Other Expenditure,72
8513203,404,Warwickshire,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,404,Warwickshire,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,135.567
8326110,406,Birmingham,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,10297
8328110,406,Birmingham,Voluntay,Additional Data,-,Income,Income from Better Care Fund,
8510101,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,34811
8510102,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,449.06
8510201,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,101314
8510202,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,40354
8510301,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,51082
8510302,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,0
8510401,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,7636.913896
8510402,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,575
8510502,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,6883
8510601,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,7003
8510602,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,712
8510701,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,11285
8510702,406,Birmingham,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,11142.13
8511101,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,10769
8511102,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,4527.35
8511201,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,78567
8511202,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,12718
8511301,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,32642
8511302,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,0
8511401,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,15148
8511402,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,7.7
8511502,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,2816
8511601,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,20767
8511602,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,2600
8511701,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,7896
8511702,406,Birmingham,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,7598.75
8512101,406,Birmingham,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,6041.849104
8512102,406,Birmingham,Mandatory,Bridging Year,-,Income,Other Expenditure,4933.308
8513203,406,Birmingham,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,406,Birmingham,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,10297
8326110,407,Coventry,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,5738.471
8328110,407,Coventry,Voluntay,Additional Data,-,Income,Income from Better Care Fund,9637.726
8510101,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,5751.211111
8510102,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,478.8542901
8510201,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,22634.28699
8510202,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,14784.54055
8510301,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,17933.88732
8510302,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,2794.698296
8510401,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,4460.746088
8510402,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,1276.939272
8510502,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,1082.358553
8510601,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,2804.876033
8510602,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,369.156161
8510701,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,1489.087608
8510702,407,Coventry,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,312.7798856
8511101,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,4705.536364
8511102,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,391.7898737
8511201,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,17322.51634
8511202,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,3407.117147
8511301,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,11051.96718
8511302,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,350.9477369
8511401,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,2300.662504
8511402,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,666.2860121
8511502,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,470.1054972
8511601,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,7646.289508
8511602,407,Coventry,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,797.513208
