UUID,Council Code,Council Name,Care Type,Activity Provision,Age Bands,Primary support reason,Long Term Support Setting,Short Term Purpose,Data Type,Value,Notes
8610601,313,Wigan,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,209.26,
8610602,313,Wigan,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,21171.14,
8610701,313,Wigan,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,46.85,
8610702,313,Wigan,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,728.29,
8610801,313,Wigan,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,159.28,
8610802,313,Wigan,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,5777.14,
8610901,313,Wigan,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,0,
8610902,313,Wigan,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,209.57,
8611001,313,Wigan,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,833.9,
8611002,313,Wigan,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,15350.14,
8611102,313,Wigan,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,1107,
8611202,313,Wigan,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,0,
8611302,313,Wigan,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,104.57,
8611402,313,Wigan,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,141.43,
8611502,313,Wigan,Long term,External,Age 18 to 64,Mental health support,Nursing,-,Mandatory,1380.14,
8611602,313,Wigan,Long term,External,Age 65 and over,Physical support,Nursing,-,Mandatory,8313.57,
8611702,313,Wigan,Long term,External,Age 65 and over,Sensory support,Nursing,-,Mandatory,182.29,
8611802,313,Wigan,Long term,External,Age 65 and over,Support with memory and cognition,Nursing,-,Mandatory,2232.57,
8611902,313,Wigan,Long term,External,Age 65 and over,Learning disability support,Nursing,-,Mandatory,58.43,
8612002,313,Wigan,Long term,External,Age 65 and over,Mental health support,Nursing,-,Mandatory,5462.43,
8622101,313,Wigan,Short term,In house,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,250.56,
8622102,313,Wigan,Short term,External,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,0,
8622201,313,Wigan,Short term,In house,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622202,313,Wigan,Short term,External,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622301,313,Wigan,Short term,In house,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622302,313,Wigan,Short term,External,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622401,313,Wigan,Short term,In house,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,18.1,
8622402,313,Wigan,Short term,External,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,0,
8622501,313,Wigan,Short term,In house,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,6.57,
8622502,313,Wigan,Short term,External,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,0,
8622601,313,Wigan,Short term,In house,Age 65 and over,Physical support,-,To maximise independence,Mandatory,2532.64,
8622602,313,Wigan,Short term,External,Age 65 and over,Physical support,-,To maximise independence,Mandatory,0,
8622701,313,Wigan,Short term,In house,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,68.09,
8622702,313,Wigan,Short term,External,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,0,
8622801,313,Wigan,Short term,In house,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,55.11,
8622802,313,Wigan,Short term,External,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622901,313,Wigan,Short term,In house,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8622902,313,Wigan,Short term,External,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8623001,313,Wigan,Short term,In house,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,75.94,
8623002,313,Wigan,Short term,External,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,0,
8623101,313,Wigan,Short term,In house,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623102,313,Wigan,Short term,External,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623201,313,Wigan,Short term,In house,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623202,313,Wigan,Short term,External,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623301,313,Wigan,Short term,In house,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623302,313,Wigan,Short term,External,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623401,313,Wigan,Short term,In house,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623402,313,Wigan,Short term,External,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623501,313,Wigan,Short term,In house,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623502,313,Wigan,Short term,External,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623601,313,Wigan,Short term,In house,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623602,313,Wigan,Short term,External,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623701,313,Wigan,Short term,In house,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623702,313,Wigan,Short term,External,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623801,313,Wigan,Short term,In house,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623802,313,Wigan,Short term,External,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623901,313,Wigan,Short term,In house,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8623902,313,Wigan,Short term,External,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8624001,313,Wigan,Short term,In house,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624002,313,Wigan,Short term,External,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624101,313,Wigan,Short term,In house,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624102,313,Wigan,Short term,External,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624201,313,Wigan,Short term,In house,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624202,313,Wigan,Short term,External,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624301,313,Wigan,Short term,In house,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624302,313,Wigan,Short term,External,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624401,313,Wigan,Short term,In house,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624402,313,Wigan,Short term,External,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624501,313,Wigan,Short term,In house,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8624502,313,Wigan,Short term,External,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8632101,313,Wigan,Long term,In house,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632102,313,Wigan,Long term,External,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632201,313,Wigan,Long term,In house,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632202,313,Wigan,Long term,External,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632301,313,Wigan,Long term,In house,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632302,313,Wigan,Long term,External,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632401,313,Wigan,Long term,In house,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632402,313,Wigan,Long term,External,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632501,313,Wigan,Long term,In house,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632502,313,Wigan,Long term,External,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632601,313,Wigan,Long term,In house,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632602,313,Wigan,Long term,External,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632701,313,Wigan,Long term,In house,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632702,313,Wigan,Long term,External,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632801,313,Wigan,Long term,In house,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632802,313,Wigan,Long term,External,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632901,313,Wigan,Long term,In house,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8632902,313,Wigan,Long term,External,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8633001,313,Wigan,Long term,In house,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633002,313,Wigan,Long term,External,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633101,313,Wigan,Long term,In house,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633102,313,Wigan,Long term,External,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633201,313,Wigan,Long term,In house,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633202,313,Wigan,Long term,External,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633301,313,Wigan,Long term,In house,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633302,313,Wigan,Long term,External,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633401,313,Wigan,Long term,In house,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633402,313,Wigan,Long term,External,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633501,313,Wigan,Long term,In house,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633502,313,Wigan,Long term,External,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633602,313,Wigan,Long term,External,Age 65 to 74,Physical support,Nursing,-,Voluntary,,
8633702,313,Wigan,Long term,External,Age 65 to 74,Sensory support,Nursing,-,Voluntary,,
8633802,313,Wigan,Long term,External,Age 65 to 74,Support with memory and cognition,Nursing,-,Voluntary,,
8633902,313,Wigan,Long term,External,Age 65 to 74,Learning disability support,Nursing,-,Voluntary,,
8634002,313,Wigan,Long term,External,Age 65 to 74,Mental health support,Nursing,-,Voluntary,,
8634102,313,Wigan,Long term,External,Age 75 to 84,Physical support,Nursing,-,Voluntary,,
8634202,313,Wigan,Long term,External,Age 75 to 84,Sensory support,Nursing,-,Voluntary,,
8634302,313,Wigan,Long term,External,Age 75 to 84,Support with memory and cognition,Nursing,-,Voluntary,,
8634402,313,Wigan,Long term,External,Age 75 to 84,Learning disability support,Nursing,-,Voluntary,,
8634502,313,Wigan,Long term,External,Age 75 to 84,Mental health support,Nursing,-,Voluntary,,
8634602,313,Wigan,Long term,External,Age 85 and over,Physical support,Nursing,-,Voluntary,,
8634702,313,Wigan,Long term,External,Age 85 and over,Sensory support,Nursing,-,Voluntary,,
8634802,313,Wigan,Long term,External,Age 85 and over,Support with memory and cognition,Nursing,-,Voluntary,,
8634902,313,Wigan,Long term,External,Age 85 and over,Learning disability support,Nursing,-,Voluntary,,
8635002,313,Wigan,Long term,External,Age 85 and over,Mental health support,Nursing,-,Voluntary,,
8610101,315,Knowsley,Long term,In house,Age 18 to 64,Physical support,Residential,-,Mandatory,0,
8610102,315,Knowsley,Long term,External,Age 18 to 64,Physical support,Residential,-,Mandatory,730,
8610201,315,Knowsley,Long term,In house,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610202,315,Knowsley,Long term,External,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610301,315,Knowsley,Long term,In house,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,0,
8610302,315,Knowsley,Long term,External,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,40,
8610401,315,Knowsley,Long term,In house,Age 18 to 64,Learning disability support,Residential,-,Mandatory,0,
8610402,315,Knowsley,Long term,External,Age 18 to 64,Learning disability support,Residential,-,Mandatory,1849,
8610501,315,Knowsley,Long term,In house,Age 18 to 64,Mental health support,Residential,-,Mandatory,0,
8610502,315,Knowsley,Long term,External,Age 18 to 64,Mental health support,Residential,-,Mandatory,710,
8610601,315,Knowsley,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,0,
8610602,315,Knowsley,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,14224,
8610701,315,Knowsley,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,0,
8610702,315,Knowsley,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,195,
8610801,315,Knowsley,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,0,
8610802,315,Knowsley,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,6018,
8610901,315,Knowsley,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,0,
8610902,315,Knowsley,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,578,
8611001,315,Knowsley,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,0,
8611002,315,Knowsley,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,2121,
8611102,315,Knowsley,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,681,
8611202,315,Knowsley,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,0,
8611302,315,Knowsley,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,209,
8611402,315,Knowsley,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,535,
8611502,315,Knowsley,Long term,External,Age 18 to 64,Mental health support,Nursing,-,Mandatory,674,
8611602,315,Knowsley,Long term,External,Age 65 and over,Physical support,Nursing,-,Mandatory,5844,
8611702,315,Knowsley,Long term,External,Age 65 and over,Sensory support,Nursing,-,Mandatory,38,
8611802,315,Knowsley,Long term,External,Age 65 and over,Support with memory and cognition,Nursing,-,Mandatory,2036,
8611902,315,Knowsley,Long term,External,Age 65 and over,Learning disability support,Nursing,-,Mandatory,52,
8612002,315,Knowsley,Long term,External,Age 65 and over,Mental health support,Nursing,-,Mandatory,805,
8622101,315,Knowsley,Short term,In house,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,203,
8622102,315,Knowsley,Short term,External,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,135,
8622201,315,Knowsley,Short term,In house,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622202,315,Knowsley,Short term,External,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622301,315,Knowsley,Short term,In house,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622302,315,Knowsley,Short term,External,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622401,315,Knowsley,Short term,In house,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,8,
8622402,315,Knowsley,Short term,External,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,11,
8622501,315,Knowsley,Short term,In house,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,6,
8622502,315,Knowsley,Short term,External,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,7,
8622601,315,Knowsley,Short term,In house,Age 65 and over,Physical support,-,To maximise independence,Mandatory,1445,
8622602,315,Knowsley,Short term,External,Age 65 and over,Physical support,-,To maximise independence,Mandatory,1810,
8622701,315,Knowsley,Short term,In house,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,48,
8622702,315,Knowsley,Short term,External,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,59,
8622801,315,Knowsley,Short term,In house,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,55,
8622802,315,Knowsley,Short term,External,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,104,
8622901,315,Knowsley,Short term,In house,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8622902,315,Knowsley,Short term,External,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,3,
8623001,315,Knowsley,Short term,In house,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,17,
8623002,315,Knowsley,Short term,External,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,68,
8623101,315,Knowsley,Short term,In house,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623102,315,Knowsley,Short term,External,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623201,315,Knowsley,Short term,In house,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623202,315,Knowsley,Short term,External,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623301,315,Knowsley,Short term,In house,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623302,315,Knowsley,Short term,External,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623401,315,Knowsley,Short term,In house,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623402,315,Knowsley,Short term,External,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623501,315,Knowsley,Short term,In house,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623502,315,Knowsley,Short term,External,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623601,315,Knowsley,Short term,In house,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623602,315,Knowsley,Short term,External,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623701,315,Knowsley,Short term,In house,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623702,315,Knowsley,Short term,External,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623801,315,Knowsley,Short term,In house,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623802,315,Knowsley,Short term,External,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623901,315,Knowsley,Short term,In house,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8623902,315,Knowsley,Short term,External,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8624001,315,Knowsley,Short term,In house,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624002,315,Knowsley,Short term,External,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624101,315,Knowsley,Short term,In house,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624102,315,Knowsley,Short term,External,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624201,315,Knowsley,Short term,In house,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624202,315,Knowsley,Short term,External,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624301,315,Knowsley,Short term,In house,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624302,315,Knowsley,Short term,External,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624401,315,Knowsley,Short term,In house,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624402,315,Knowsley,Short term,External,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624501,315,Knowsley,Short term,In house,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8624502,315,Knowsley,Short term,External,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8632101,315,Knowsley,Long term,In house,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632102,315,Knowsley,Long term,External,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632201,315,Knowsley,Long term,In house,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632202,315,Knowsley,Long term,External,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632301,315,Knowsley,Long term,In house,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632302,315,Knowsley,Long term,External,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632401,315,Knowsley,Long term,In house,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632402,315,Knowsley,Long term,External,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632501,315,Knowsley,Long term,In house,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632502,315,Knowsley,Long term,External,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632601,315,Knowsley,Long term,In house,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632602,315,Knowsley,Long term,External,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632701,315,Knowsley,Long term,In house,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632702,315,Knowsley,Long term,External,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632801,315,Knowsley,Long term,In house,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632802,315,Knowsley,Long term,External,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632901,315,Knowsley,Long term,In house,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8632902,315,Knowsley,Long term,External,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8633001,315,Knowsley,Long term,In house,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633002,315,Knowsley,Long term,External,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633101,315,Knowsley,Long term,In house,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633102,315,Knowsley,Long term,External,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633201,315,Knowsley,Long term,In house,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633202,315,Knowsley,Long term,External,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633301,315,Knowsley,Long term,In house,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633302,315,Knowsley,Long term,External,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633401,315,Knowsley,Long term,In house,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633402,315,Knowsley,Long term,External,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633501,315,Knowsley,Long term,In house,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633502,315,Knowsley,Long term,External,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633602,315,Knowsley,Long term,External,Age 65 to 74,Physical support,Nursing,-,Voluntary,,
8633702,315,Knowsley,Long term,External,Age 65 to 74,Sensory support,Nursing,-,Voluntary,,
8633802,315,Knowsley,Long term,External,Age 65 to 74,Support with memory and cognition,Nursing,-,Voluntary,,
8633902,315,Knowsley,Long term,External,Age 65 to 74,Learning disability support,Nursing,-,Voluntary,,
8634002,315,Knowsley,Long term,External,Age 65 to 74,Mental health support,Nursing,-,Voluntary,,
8634102,315,Knowsley,Long term,External,Age 75 to 84,Physical support,Nursing,-,Voluntary,,
8634202,315,Knowsley,Long term,External,Age 75 to 84,Sensory support,Nursing,-,Voluntary,,
8634302,315,Knowsley,Long term,External,Age 75 to 84,Support with memory and cognition,Nursing,-,Voluntary,,
8634402,315,Knowsley,Long term,External,Age 75 to 84,Learning disability support,Nursing,-,Voluntary,,
8634502,315,Knowsley,Long term,External,Age 75 to 84,Mental health support,Nursing,-,Voluntary,,
8634602,315,Knowsley,Long term,External,Age 85 and over,Physical support,Nursing,-,Voluntary,,
8634702,315,Knowsley,Long term,External,Age 85 and over,Sensory support,Nursing,-,Voluntary,,
8634802,315,Knowsley,Long term,External,Age 85 and over,Support with memory and cognition,Nursing,-,Voluntary,,
8634902,315,Knowsley,Long term,External,Age 85 and over,Learning disability support,Nursing,-,Voluntary,,
8635002,315,Knowsley,Long term,External,Age 85 and over,Mental health support,Nursing,-,Voluntary,,
8610101,316,Liverpool,Long term,In house,Age 18 to 64,Physical support,Residential,-,Mandatory,0,
8610102,316,Liverpool,Long term,External,Age 18 to 64,Physical support,Residential,-,Mandatory,1458,
8610201,316,Liverpool,Long term,In house,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610202,316,Liverpool,Long term,External,Age 18 to 64,Sensory support,Residential,-,Mandatory,7,
8610301,316,Liverpool,Long term,In house,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,0,
8610302,316,Liverpool,Long term,External,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,52,
8610401,316,Liverpool,Long term,In house,Age 18 to 64,Learning disability support,Residential,-,Mandatory,156,
8610402,316,Liverpool,Long term,External,Age 18 to 64,Learning disability support,Residential,-,Mandatory,313,
8610501,316,Liverpool,Long term,In house,Age 18 to 64,Mental health support,Residential,-,Mandatory,0,
8610502,316,Liverpool,Long term,External,Age 18 to 64,Mental health support,Residential,-,Mandatory,1084,
8610601,316,Liverpool,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,52,
8610602,316,Liverpool,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,46898,
8610701,316,Liverpool,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,0,
8610702,316,Liverpool,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,1294,
8610801,316,Liverpool,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,0,
8610802,316,Liverpool,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,8109,
8610901,316,Liverpool,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,0,
8610902,316,Liverpool,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,608,
8611001,316,Liverpool,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,0,
8611002,316,Liverpool,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,3760,
8611102,316,Liverpool,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,5459,
8611202,316,Liverpool,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,63,
8611302,316,Liverpool,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,156,
8611402,316,Liverpool,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,5589,
8611502,316,Liverpool,Long term,External,Age 18 to 64,Mental health support,Nursing,-,Mandatory,5803,
8611602,316,Liverpool,Long term,External,Age 65 and over,Physical support,Nursing,-,Mandatory,22288,
8611702,316,Liverpool,Long term,External,Age 65 and over,Sensory support,Nursing,-,Mandatory,466,
8611802,316,Liverpool,Long term,External,Age 65 and over,Support with memory and cognition,Nursing,-,Mandatory,4825,
8611902,316,Liverpool,Long term,External,Age 65 and over,Learning disability support,Nursing,-,Mandatory,1320,
8612002,316,Liverpool,Long term,External,Age 65 and over,Mental health support,Nursing,-,Mandatory,2959,
8622101,316,Liverpool,Short term,In house,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,147,
8622102,316,Liverpool,Short term,External,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,398,
8622201,316,Liverpool,Short term,In house,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,4,
8622202,316,Liverpool,Short term,External,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,3,
8622301,316,Liverpool,Short term,In house,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622302,316,Liverpool,Short term,External,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622401,316,Liverpool,Short term,In house,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,22,
8622402,316,Liverpool,Short term,External,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,16,
8622501,316,Liverpool,Short term,In house,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,37,
8622502,316,Liverpool,Short term,External,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,10,
8622601,316,Liverpool,Short term,In house,Age 65 and over,Physical support,-,To maximise independence,Mandatory,2381,
