,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,NW,NE,YH,WM,EM,E,SE,L,SW,Eng
Other gross and net expenditure,2013 - 2014,Adults aged 65 and over,Income: total,3387.59,1402,374,48.86,71,295,393,521,86,0,82,117.87,93,53,451,588,2365,476.31,170.71,742,2279,136.65,90,125,48,717.54,444,665,1575,1275,1529,1038,381,0,2707,1745,9,1317,1866,10146,235.22,369,727,557.63,1529,611.14,0,146,3427.06,353.33,0,13904,777.31,283.14,60,114.85,1457,33,1135,546,485,11127,48.91,286,10491,673,271,1107,992,174.69,3,797.91,104,15407,3825.79,519,200,638.56,2,887,1,121,117,0,1689,20.55,14,500.04,1530.44,227,5,45,1382.23,1553,-1.48,2056,1882,500.11,4262.08,31.07,1196.12,1069,43.9,243,1394,207,450.22,3228,0,7,404,605,485.07,38.2,860.96,173,1079,60.78,798,120,274,205,397,3890,1498,201,23.28,2213.55,6775,4482,0,76.96,427,81.61,392,827.81,3,192.78,365,13592,234.76,83,113,857.23,0,0,473,9422.16,487,2081,941.72,0,34930.97,3483.73,9351.21,30257.21,14613.6,23775.06,27926.55,29210.04,19574.86,193123.22
Other gross and net expenditure,2013 - 2014,Adults aged 65 and over,Net total expenditure,0.38,3574.02,1563,4136.31,1531,2000,2326,1081,363,25,444,1153.97,29,916,1455,2406,761,6014.97,423.18,954,4905,3192.72,679,1218.96,2153,-18.62,2035,1333,2883,1681,6252,5514,1191,745,4964,4373,930.17,1295,851,5309,1524.21,612,4188,2295.87,2331,8609.92,0,517,10128.94,1015.14,5025.3,-1476,3084.48,-731.82,1014,1459.33,9888,1876,8845,1483,799,5486,1886.8,930,-3336,2415,5854,-1114,3984,1784.02,287,8551.52,152,-2905,14355.26,7922,3466,1042.01,5511,1306.97,469,820,1720.56,1132,2452,1177.35,9234,1335.56,1077.15,7069,1017,12,1374.96,5834,1676.55,10669,2208,3760.41,308.03,1683.18,3024.65,1258,3306.68,2119,3949,458,4670.49,4610,849,11044,4620,3117,388.3,739.41,4402.75,6861,1061,1174.96,741,1436,1671,1282.06,4218,3241,2024,5891,440.89,16441.75,34970,3366,1252,1061.98,1010,739.53,3966,6601.19,61,5842.61,1108,10369,790.48,3184,7694,6756.53,30,618,4777,-3197.48,1738,2308,3858.58,127.98,67210.63,18226.31,28428.2,39569.09,18577.54,37077.94,97900.73,104296.46,40525.2,451812.09
Total expenditure,2014 - 2015,Adults aged 65 and over,Gross total cost: total expenditure,122985.83,69993,49291,59337.06,37854.6,42567,62542,28226,32109,29236,36256,120046.58,22739,40062,60769.95,52787,99860,84380,41105,76395,126881,62432,80864,55869.78,27369.5,34574.88,107308.3,37183,50529,31557,70484,34345.4,39147,44335.5,63932.75,40005,40757,53701,31554,91336.09,58314,36599,58913.18,19266.33,39762,234682.75,34577.31,29833,86561,50482.93,92612.3,207166.97,57102.17,52030.95,54677,36092.67,50952,53379,153043,57230,37157,109355,54410,28119,137846,134431,165170,46004,108634,65359.6,5721,158797.74,62177,194517,160912.54,126085,147860.53,30678,85078.2,47687,21884,30468.1,25254,27791,23660,27387.04,272762,34991.42,19067,102148,29906.05,27294,46015,56103.41,47340.24,37983,36555.72,45577,39089,58127.94,50340.77,44394,41629.92,44947,66969,1704,30685,49639.06,35927,42791,44238,55311.24,66364,56477,45015.65,36817.06,38385,35488.63,30672.99,29006.44,39283.6,38420.82,43616,39291,26777,38231,39319.61,221011.14,135949,93739,34666,30191.38,231150,36778,44839,121307,58554,89649,31592,245841,41939.78,90999,130785,118951,545,46281.44,97342,44821.43,50862,190715,44066,31828.84,1363661.06,590197.24,987841.41,1043327.06,884140.34,1066151.54,1591982.87,1393198.49,1127034.09,10047534.11
Total expenditure,2014 - 2015,Adults aged 65 and over,Income: total,50908.86,26530,12893,17605.37,15517.03,17908,25218,11098,13951,10696,12774,45039,8858,21331,28940.9,19317,32654,37436,17219.02,31720,63335,22402,38406,18151.85,7085,11537.85,29057.47,13196,20150,12764,17794,11746.81,14794,18482.5,28439.86,15937,10277.98,19565,9257.47,36107.3,12281,15763,27637.83,7728.87,15491,83942.14,5200.88,11225,19621,14896.65,28382.32,65263.34,20372,20319.94,11222,10366.75,11977,18955,49895,18210,10979,36294.15,20471.79,8564,53124,39033,58757,12740,43067,19872,1507,52104.31,18010,65807,81035.64,43119,39151.57,4915,26878.6,12332,7269,9186.5,6531,13530,7688,7801.92,92437,13770.42,6251,24914,9659.72,7903,15582,14778.64,17806.99,10390,9934,14149,12154,18633.83,13862.58,9212,5821.26,13041,20879,392,10222,12536.11,13818,12499,18690,22162.14,22733.08,11050,10186.48,8446.7,10345,9205.22,6190.41,7855.21,16478,12293.92,20545,13134,7084,10845,13462.9,49736.94,39663,25602,7505,9652.39,78162,13266,13365,27972,20519,14489,7693,83185,13309.15,31402,34668,48615,276,16375.5,26733,17510.1,14350,69974,12633,11216,480012.16,218087.4,391789.09,331272.29,298214.31,361426.36,486977.01,417373.57,348694,3333846.17
Total expenditure,2014 - 2015,Adults aged 65 and over,Net total expenditure,72076.96,43463,36398,41731.7,22337.57,24659,37324,17128,18158,18540,23482,75007.58,13881,18731,31829.05,33470,67206,46944,23885.98,44675,63546,40030,42458,37717.93,20284.5,23037.03,78250.83,23987,30379,18793,52690,22598.59,24353,25853,35492.89,24068,30479.02,34136,22296.53,55228.79,46033,20836,31275.34,11537.45,24271,150740.62,29376.43,18608,66940,35586.27,64229.98,141903.62,36730.17,31711.01,43455,25725.92,38975,34424,103148,39020,26178,73060.85,33938.21,19555,84722,95398,106413,33264,65567,45487.6,4214,106693.43,44167,128710,79876.9,82966,108708.96,25763,58199.6,35355,14615,21281.61,18723,14261,15972,19585.12,180325,21221,12816,77234,20246.33,19391,30433,41324.77,29533.25,27593,26621.72,31428,26935,39494.11,36478.19,35182,35808.66,31906,46090,1312,20463,37102.95,22109,30292,25548,33149.1,43630.92,45427,34829.17,28370.36,28040,26283.41,24482.58,21151.23,22805.6,26126.89,23071,26157,19693,27386,25856.71,171274.2,96286,68137,27161,20538.99,152988,23512,31474,93335,38035,75160,23899,162656,28630.63,59597,96117,70336,269,29905.94,70609,27311.33,36512,120741,31433,20612.84,883648.9,372109.85,596052.32,712054.77,585926.03,704725.18,1105005.87,975824.92,778340.1,6713687.94
Total expenditure,2013 - 2014,Adults aged 65 and over,Gross total cost: total expenditure,120914.65,72934.05,49244,63162.46,36471,39878,63422,26860,30455,27167,35234,115420.86,22640,34316,61141,57563,98560,83793.37,35957.34,73194,136311,61499.84,76509,59310.28,28888,32790.16,109648,33335,51771,33937,74614,37506,33768,35921,63715,40339,37029.37,51450,38199,89637,62743.28,37634,58024,26824.47,41391,210846.68,22448,32610,83760.94,53045.56,94957.7,202342,59930.42,57516.72,57249,35460.32,56853,49808,148688,54274,39227,106162,51368.85,29746,127099,103721,150247,43167.5,103700,56663.93,6394,162828.03,55999,188492,197272.9,127869,151622,31144.55,80184,36281.83,17657,26125,25965.82,24784,22394,23463.09,256684,30707.37,24137.56,97854,26428,26117,44407.89,52695,46823.54,50142,36840,44101.53,34475.67,48376.56,52203.28,40623,46682.04,44162,53671,1768.27,32032.29,58168,33028,46789,50516,56357,53812.92,55546.74,43189.89,35944,41659,40308.87,31918,28522,35792,37745.42,44136,41591,24389,40961,36045.79,221171.24,181817,94438,37916,30861.16,232625,31779.69,46421,140958.78,53210,78967.56,31166,253260,37546.35,93788,116902,100447.51,786,38219,93145,45255.5,51355,181424,49735.29,29618.09,1338128.95,582888.37,982815.99,1043583,809819.46,1074867.27,1619558.59,1384970.02,1074024.12,9910655.77
Total expenditure,2013 - 2014,Adults aged 65 and over,Income: total,48068.44,25822,11790,21318.44,14006,15090,21691,11121,11477,9557,11163,42297.12,9155,10202,23791,22202,31564,29954.19,14305.56,31588,47649,20647.6,41110,14104.89,7937,9798.15,33432,13736,21737,10939,14469,10964,12270,16369,28343,16114,9794.66,18446,15199,34892,19374.03,16052,24224,13426.28,17501,70940.1,7336,12780,22090.54,20132.88,25697.32,53395,20221.26,19566.91,13236,11512.24,13262,19908,46808,17495,9550,30717,20427.95,7853,47689,34615,40860,14256,35135,17129.19,1343,51316.23,15973,53832,66440.35,41914,39804,8497.96,21766,10318,3689,6159,6912,10101,6864,5156.13,84452,11641.05,9904.34,18931,8730,8158,13647.56,13199,14639.7,8402,11922,11963.13,10018.52,14412.48,15440.24,6817,4415,12025,14759,369,6776.74,17229,11939,11544,14577,15503,18705.5,11633.56,9777.43,8187,11481,8976.39,8668,7972,16018,10503.19,18943,10450,5927,9577,11674.81,50247.34,46904,30156,9508,8384.57,77021,11883.01,13032,49508.42,18517,14779.32,7034,77864,11390.02,25277,35632,29673.79,663,12874,24821,20352.43,14086,62702,15018.84,9767.21,481461.93,204487.56,352021.39,309649.68,258316.42,324038.26,480920.72,372769.89,320729.14,3104394.99
Total expenditure,2013 - 2014,Adults aged 65 and over,Net total expenditure,72846.21,47112.05,37454,41844.03,22465,24788,41731,15739,18978,17610,24071,73123.74,13485,24114,37350,35361,66996,53839.18,21651.78,41606,88662,40852.24,35399,45205.39,20951,22992.01,76216,19599,30034,22998,60145,26542,21498,19552,35372,24225,27234.71,33004,23000,54745,43369.24,21582,33800,13398.19,23890,139906.58,15112,19830,61670.4,32912.68,69260.37,148947,39709.16,37949.81,44013,23948.08,43591,29900,101880,36779,29677,75445,30940.9,21893,79410,69106,109387,28911.5,68565,39534.75,5051,111511.8,40026,134660,130832.54,85955,111818,22646.6,58418,25963.83,13968,19966,19053.82,14683,15530,18306.96,172232,19066.31,14233.23,78923,17698,17959,30760.33,39496,32183.84,41740,24918,32138.4,24457.14,33964.08,36763.04,33806,42267.04,32137,38912,1399.27,25255.55,40939,21089,35245,35939,40854,35107.42,43913.18,33412.46,27757,30178,31332.48,23250,20550,19774,27242.23,25193,31141,18462,31384,24370.98,170923.91,134913,64282,28408,22476.59,155604,19896.69,33389,91450.36,34693,64188.25,24132,175396,26156.33,68511,81270,70773.72,123,25345,68324,24903.08,37269,118722,34716.45,19850.89,856667.01,378400.81,630794.6,733933.32,551503.04,750829.01,1138637.87,1012200.13,753294.98,6806260.79
Total expenditure on assessment and care management,2014 - 2015,Adults aged 18 to 64,Gross total cost: total expenditure,11889.08,6099,3293,4993.08,2473.2,3948,5749,2616,2422,3167,2865,7425,3186,3877,5881.45,5173,8264,7640,2349,5818,13794,6645,6438,1502.06,1615,2312,9022.65,0,6631,2951,7500,5877,2282,4357.5,4210.34,1300,4475,4844,1885,7173.61,3705,2687,4741.39,2947.41,4194,15983.77,6310.69,3127,9206,5492.5,14435.7,9661.85,4788,5718.64,3633,3171.72,4994,5141,14750,3391,4860,8452,3905,2677,13270,1187,6979,2873,6534,8610,630,12093.87,6461,17911,12360.8,12713,11612.24,2737,5005.8,8556,3483,4091.59,3973,3589,2306,1528.12,18325,2731.42,2784,7842,2149.78,3712,3672,13626.07,3959.55,6024,4236,5303,3242,4445.39,5545.27,13904,8104.51,8388,3850,1395,3166,2759.39,2264,4656,3960,6615.81,4133,4838,6363.78,4106.94,1326,4827.08,4635.37,0,3948,14551.18,4557,3915,5707,4890,3826.7,20411.24,18321,8215,2251,2349.14,24212,3750,3184,14248,4942,0,2249,20219,4721.85,16749,3410,11081,1,5422.24,6970,4355.24,3100,6042,4400,3557.1,123770.29,48236.28,80331.16,89578.91,58637.87,85837.23,163081.29,173242.35,80151.72,902867.1
Total expenditure on assessment and care management,2014 - 2015,Adults aged 18 to 64,Income: total,398.65,1307,43,495.26,239,1634,1327,399,592,920,154,2371,240,554,1267.72,950,2164,1056,718.59,810,2125,929,1102,179.57,15.5,373,1351.53,0,1173,445,611,3987,224,906.5,415.21,25,278,1291,283,141.65,302,825,4784.65,468.51,361,1669.28,1914.12,989,572,1157.5,1484.68,1844.39,327,175.33,1,155.68,-10,7,0,1238,2427,815.22,812,754,10392,58,70,39,607,597,0,26.41,627,2337,1079.54,2486,846.08,0,315.4,1466,694,222.28,802,418,506,186.65,121,59.4,52,0,36.9,254,186,1636.93,1202.89,1282,763,262,120,272.1,1829.26,1233,1161.99,533,1028,33,1739,299.81,823,621,448,0,762,599,1400.24,102,29,205.32,368.68,0,321,3832.47,297,31,1238,195,441.45,812.87,3444,208,4,142.4,194,1956,251,381,876,0,0,1388,199.35,1323,177,1948,0,119.13,3860,927.55,897,713,1851,421.5,23222.06,9721.26,13595.91,10031.3,12416.41,4971.92,17039.99,24668.68,12591.58,128259.12
Total expenditure on assessment and care management,2014 - 2015,Adults aged 18 to 64,Net total expenditure,11490.44,4792,3250,4497.83,2234.2,2314,4422,2217,1830,2247,2711,5054,2946,3323,4613.73,4223,6100,6584,1630.41,5008,11669,5716,5336,1322.5,1599.5,1939,7671.12,0,5458,2506,6889,1890,2058,3451,3795.13,1275,4197,3553,1602,7031.96,3403,1862,-43.26,2478.9,3833,14314.49,4396.57,2138,8634,4335,12951.02,7817.46,4461,5543.31,3632,3016.04,5004,5134,14750,2153,2433,7636.78,3093,1923,2878,1129,6909,2834,5927,8013,630,12067.47,5834,15574,11281.26,10227,10766.16,2737,4690.4,7090,2789,3869.31,3171,3171,1800,1341.47,18204,2672.02,2732,7842,2112.88,3458,3486,11989.14,2756.67,4742,3473,5041,3122,4173.29,3716.01,12671,6942.52,7855,2822,1362,1427,2459.58,1441,4035,3512,6615.81,3371,4239,4963.54,4004.94,1297,4621.76,4266.69,0,3627,10718.71,4260,3884,4469,4695,3385.25,19598.37,14877,8007,2247,2206.74,24018,1794,2933,13867,4066,0,2249,18831,4522.5,15426,3233,9133,1,5303.11,3110,3427.68,2203,5329,2549,3135.6,100548.23,38515.03,66735.26,79547.6,46221.47,80865.31,146041.3,148573.66,67560.14,774607.99
Total expenditure on assessment and care management,2013 - 2014,Adults aged 18 to 64,Gross total cost: total expenditure,13866.9,5669.97,4022,5045.77,1954,3699,5157.68,2477,4150,2629,2544,7934.85,3424,3913,6171,5614,8454,8715.5,3041.65,5463,16665,6375.08,2473,758.47,1570,4298.1,8593,4429,7022,3173,7619,5268,3314,3356,4196,1000,2230.61,3647,1800,7875,3708.34,1948,5535,4996.43,3655,19029.87,2972,3079,8155.28,6098.07,9726.36,8955,5053.43,6546.12,5280,3295.03,5688,5243,12591,3052,2810,10718,6213.39,2695,13773,12264,8316,3365.5,8341,9896.32,1079,11507.42,5498,17055,18833.29,16280,11263,3288.78,5506,6816.41,2436,2572,3635.23,3469,2773,2092.59,15538,2474.83,2160.38,7387,3954,3245,4867.82,9013,3207.33,7376,4581,5538.51,4242.48,8144.83,6738.42,7277,10128.94,6230,7900,160,3406.46,7744,2693,5183,4508,7026,11322.92,4050.28,7516.73,4130,3693,6038.04,4782,5003,5535,13065.64,5384,4367,9090,5293,3714.66,23128.4,17909,7308,4830,2064.84,19557,4964.38,4602,12185.12,4796,8944.95,1626,20816,3679.23,13284,7852,8326,0,3135,7150,2230.43,2627,6353,3316.16,3382.12,123544.49,48707.28,86533.8,87866.33,74040.24,90067.1,160932.02,200368.58,82429.5,954489.35
Total expenditure on assessment and care management,2013 - 2014,Adults aged 18 to 64,Income: total,220.99,957.91,152,511.98,156,1377,1194,477,1086,443,109,704.99,395,209,284,981,843,958,1040.45,752,3222,1309.25,465,0,76,763.91,526,279,1628,381,479,599,230,930,554,30,88.18,691,577,313,245.31,173,653,2696.77,631,4998.45,903,422,313.8,363.76,867.59,578,187.26,825.72,37,0,254,162,578,44,806,1365,955.72,350,10685,5014,20,400,954,891.85,5,600.28,75,1994,1038.1,2048.57,2126,440.04,346,2992,128,165,326,397,157,557.71,43,-4.27,0,203,549,396,259.75,1366,0.12,1608,402,5.82,467.06,1434.89,1255.26,1283,2444.68,398,1977,0,19.86,388,240,220,53,128,1919.62,110.66,1564.88,100,151,209.53,123,533,121,2242.11,315,444,1200,329,1774.72,9141.93,3995,140,389,41.11,88,310.81,254,2064.59,319,174.66,0,1653,88.7,2909,25,1378.01,0,564,391,213.94,302,822,1684.48,339,18121.25,7563.87,11708.6,7010.29,18645.13,7044.63,26807.01,23053.49,9373.2,129327.47
Total expenditure on assessment and care management,2013 - 2014,Adults aged 18 to 64,Net total expenditure,13645.91,4712.07,3870,4533.8,1798,2322,3963.68,2000,3064,2186,2435,7229.86,3029,3704,5887,4633,7611,7757.5,2001.2,4711,13443,5065.83,2008,758.47,1494,3534.19,8067,4150,5394,2792,7140,4669,3084,2426,3642,970,2142.43,2956,1223,7562,3463.03,1775,4882,2299.66,3024,14031.42,2069,2657,7841.48,5734.31,8858.78,8377,4866.16,5720.4,5243,3295.03,5434,5081,12013,3008,2004,9353,5257.68,2345,3088,7250,8296,2965.5,7387,9004.48,1074,10907.14,5423,15061,17795.19,14231.43,9137,2848.74,5160,3824.41,2308,2407,3309.23,3072,2616,1534.88,15495,2479.09,2160.38,7184,3405,2849,4608.07,7647,3207.21,5768,4179,5532.69,3775.42,6709.94,5483.16,5994,7684.26,5832,5923,160,3386.6,7356,2453,4963,4455,6898,9403.3,3939.61,5951.85,4030,3542,5828.51,4659,4470,5414,10823.53,5069,3923,7890,4964,1939.95,13986.47,13914,7168,4441,2023.73,19469,4653.57,4348,10120.54,4477,8770.28,1626,19163,3590.53,10375,7827,6947.99,0,2571,6759,2016.49,2325,5531,1631.68,3043.12,105423.25,41143.41,74825.19,80856.05,55395.12,83022.48,134125.01,177315.09,73056.3,825161.88
Total expenditure on residential and nursing care,2014 - 2015,Adults aged 18 to 64,Gross total cost: total expenditure,15968.72,16541,12666,6946.8,6531.84,10270,19083,3559,10961,8031,9092,17484,3828,6926,9538,19559,27938,29132,7629,20031,32365,15682,19143,20738.95,5312,5708.77,25942,6853,6548,5921,14937,2056,7894,5444,9043.8,3146,6427,7231,4970,13917.9,9321,5765,17392.46,2823.89,9232,31556.75,4174,3379,16683,12012.49,21375,80196.05,16835,24567.02,15826,15348.76,9382,19048,48670,8234,12032,31517,17381,13200,33244,29738,37089,13347,32187,17049.4,2092,49143.6,23748,76603,49982.06,30643,27273.15,8102,29868,2457,4185,7148.37,11798,11987,9769,10122.22,89487,6192.66,11222,28863,8471.56,10528,15749,11624.93,22052.27,13768,14253,12692,8104,20534.09,18475.77,23161,16246.91,22276,8827,464,5745,22570.88,12211,17790,17618,27315.11,25837,12144,19461.29,12677,12807,24541.94,11314.76,12060.75,9086,9938.65,14958,17254,15204,16540,11187.94,83616.23,45298,18731,8692.5,5371.99,74167,9027,14543,47225,19248,37106,17013,101106,17984,34587,41452,33629,89,10932,31075,14664.12,21993,36726,10003,5805,215844.01,124993.64,252497.71,333611.84,237638,332473.44,541379.77,509553.35,327869.61,2875861.37
Total expenditure on residential and nursing care,2014 - 2015,Adults aged 18 to 64,Income: total,3018.26,2859,938,1508.5,3032.81,5220,3974,1502,4108,794,989,4045,415,2986,1531,2476,3133,5331,1921.89,4768,1296,4213,6243,4322.3,394,1248.77,6798,1805.3,1338,1275,1997,571,1207,1652,1195,471,1218.55,1013,434,4418.9,2347,717,4847.19,562.98,2077,6398.47,1507,485,4922,2338.25,1084,16915.55,3236,1757.45,826,2254.61,712,1105,7551,858,1469,3466,4102.17,1878,7692,4192,5660,1792,8736,5567,879,10740.02,7101,5748,6302.35,6274,6217.78,948,7581,429,533,656.59,1228,378,572,1559.79,6231,599.29,844,7451,1304.4,1116,1048,797.6,8818.01,3250,6063,3068,2996,2338.94,1863.52,898,2137.79,4268,3543,0,695,3374.04,1568,2102,2295,2056.42,9595.99,2708,3365.19,2190,959,4047.49,1843.12,2244,777,661.93,1214,1768,2457,1699,1584.28,6127.39,15237,3920,997,566.13,5900,767.48,2310,17534,2110,1810,1110,7986,4206,4778,9889,10556,0,2691,4415,2805.2,5064,5189,3443,695.98,46010.6,29385.31,48467.26,47214.78,52359.02,37809.83,82973.52,87662.04,57929.31,489811.67
Total expenditure on residential and nursing care,2014 - 2015,Adults aged 18 to 64,Net total expenditure,12950.47,13682,11728,5438.3,3499.03,5050,15109,2057,6853,7237,8103,13439,3413,3940,8007,17083,24805,23801,5707.11,15263,31069,11469,12900,16416.65,4918,4460,19144,5047.7,5210,4646,12940,1485,6687,3792,7848.8,2675,5208.45,6218,4536,9499,6974,5048,12545.27,2260.91,7155,25158.27,2667,2894,11761,9674.24,20291,63280.51,13599,22809.57,15000,13094.15,8670,17943,41119,7376,10563,28051,13278.83,11322,25552,25546,31429,11555,23451,11482.4,1213,38403.58,16647,70855,43679.71,24369,21055.37,7154,22287,2028,3652,6491.77,10570,11609,9197,8562.44,83256,5593.38,10378,21412,7167.16,9412,14701,10827.33,13234.26,10518,8190,9624,5108,18195.15,16612.25,22263,14109.11,18008,5284,464,5050,19196.84,10643,15688,15323,25258.69,16241.01,9436,16096.1,10487,11848,20494.45,9471.64,9816.75,8309,9276.72,13744,15486,12747,14841,9603.66,77488.85,30061,14811,7695.5,4805.87,68267,8259.52,12233,29691,17138,35296,15903,93120,13778,29809,31563,23073,89,8241,26660,11858.91,16929,31537,6560,5109.02,169833.41,95608.33,204030.46,286397.06,185278.98,294663.61,458406.24,421891.31,269940.3,2386049.69
Total expenditure on residential and nursing care,2013 - 2014,Adults aged 18 to 64,Gross total cost: total expenditure,16718.09,17137.83,13077,10750.98,7816,9621,18111,4444,11500,10760,9966,19234.59,4206,9548,14394,20987,29576,32282,8212.54,19673,33059,16159.78,22790,20429.56,6933,5532.64,23906,7115,6497,6367,13490,3803,8573,10535,9013,3756,6609.94,8132,7903,20689,10474.69,6427,16436,4986.97,8868,47606.56,8765,5279,14283.57,13988.39,24329.86,77377,16662,16550.05,17706,17018.14,8283,20048,51604,18970,11330,35489,17848.63,13938,31030,32079,46463,14724,32255,19375.45,1965,54633.17,27009,76436,49759.19,28022,30763,9242.87,33951,7798,3973,7642,12049.12,11525,9987,9513,94584,8174.92,9098,30483,10244,14410,16646.24,11768,20414.41,14841,16273,8731.79,7683.58,28144.5,20104.15,29135,18332.42,22561,15738,414,5053.46,22868,15562,17603,18004,27925,24540.96,14594.8,19679.01,12870,13907,21255.54,12820,10822,10724.3,11135.74,12670,14269,11115,17370,12114.91,91345.05,41540,20043,9834,5628.92,71059,12406.35,13207,46372,23352,35700.11,16992,94282,20592.05,34059,48883,30018.17,94,12374,32381,14170.02,19015,37858,13644.93,8550.86,259201.2,136624.4,270597.52,347153.69,259533.62,349841.22,550730.47,528929.65,339246.02,3041857.79
Total expenditure on residential and nursing care,2013 - 2014,Adults aged 18 to 64,Income: total,1560.66,3239.61,970,1408.46,2781,4399,3568,1374,3704,1231,1161,5298.5,554,2019,2991,2996,4595,5756.22,2024.1,4495,2581,5616.92,7454,1521.26,731,1393.35,7575,1922,1219,638,2603,728,821,1690,760,663,872.29,1947,1959,2575,1642.5,577,4143,1717.39,1753,12068.36,1939,914,5588.85,5393.57,1688.6,7016,3526.81,1018.38,1332,1871.27,1940,1961,8719,4144,1097,4189,3440.78,2702,5816,2849,7914,1582,8747,5823.74,646,11576.72,8322,7392,9521.99,2516.5,6514,1231.82,6340,675,312,448,834,570,4636,880.19,5607,525.8,956.61,4432,2992,1156,962.28,742,8733.88,3660,595,940.42,2748.51,2141.62,1703.49,1153,1797.03,3807,6812,3.7,414.38,2194,929,1931,3547,2991,10637.97,2167.17,3512.61,1937,9223,3939.6,973,3032,2198,755.44,1134,2714,1197,2091,1671.2,7916.11,14557,4850,1261,720.47,5335,1862.05,1730,5301.76,2500,2471.62,919,7911,2064.3,3047,9630,9403.21,0,3546,1949,1447.92,3171,7913,1254.69,1103.72,53772.61,29688.57,53670.85,44645.84,53276.46,41291.5,68060.11,92355.81,52687.63,489449.37
Total expenditure on residential and nursing care,2013 - 2014,Adults aged 18 to 64,Net total expenditure,15157.43,13898.22,12107,9342.52,5035,5222,14543,3070,7796,9529,8805,13936.09,3652,7529,11403,17991,24981,26525.78,6188.43,15178,30478,10542.86,15336,18908.3,6202,4139.29,16331,5193,5278,5729,10887,3075,7752,8845,8253,3093,5737.65,6185,5944,18114,8832.19,5850,12293,3269.58,7115,35538.19,6826,4365,8694.72,8594.82,22641.26,70361,13135.19,15531.67,16374,15146.88,6343,18087,42885,14826,10233,31300,14407.85,11236,25214,29230,38549,13142,23508,13551.71,1319,43056.45,18687,69044,40237.19,25505.5,24249,8011.05,27611,7123,3661,7194,11215.12,10955,5351,8632.81,88977,7649.13,8141.39,26051,7252,13254,15683.96,11026,11680.53,11181,15678,7791.37,4935.06,26002.88,18400.66,27982,16535.38,18754,8926,410.3,4639.08,20674,14633,15672,14457,24934,13902.98,12427.63,16166.41,10933,4684,17315.95,11847,7790,8526.3,10380.3,11536,11555,9918,15279,10443.71,83428.94,26983,15193,8573,4908.46,65724,10544.3,11477,41070.24,20852,33228.49,16073,86371,18527.75,31012,39253,20614.97,94,8828,30432,12722.11,15844,29945,12390.24,7447.14,205428.59,106935.83,216926.67,302507.85,206257.16,308549.72,482670.37,436573.84,286558.4,2552408.42
Total expenditure on home care services,2014 - 2015,Adults aged 18 to 64,Gross total cost: total expenditure,4273.85,9696,3005,8141.83,1520.64,2879,9946,2413,1160,3783,4683,5321,1155,4964,3714,2107,9043,12494,1763,3904,55903,1824,3703,2738.2,1084,2465.6,19203.75,787,2308,1104,3464,3316,1085,897,8321.34,782,1909,5734,2156,1717.73,1373,1046,2290.05,449.55,9832,35626.26,1728,3853,13270,17722,8052,31024.23,10431,4278.09,5352,5735.91,1622,2565,8301,1448,5630,6698,5496,6119,3566,3366,7941,3164,5647,1852.7,707,2805.79,1755,8441,4914.78,6249,16150.33,791,2774,3471,6554,927.86,1884,4015,3489,939.82,58027,1253.6,487,11097,8234.43,2815,4185,2653.14,3248.52,5237,2041,2972,1109,7393.51,4198.7,2429.09,9938.96,1717,4336,321,1380,1781.36,1247,3113,2173,2480.06,3375,12304,4062.29,928,3916,4613,1665.12,71,3846,2572.3,2829,1174,1432,1788,878.76,38260.9,2427,2450,1614,1948.05,47271,4551,11319,2757,3636,3813,6686,8249,1561,6054,5645,9328,0,514,3447,3125.53,3274,6738,2367,3522,124257.77,53703.47,125697.55,102752.23,30804.49,116396.13,151214.34,104345.06,60525.57,869696.62
Total expenditure on home care services,2014 - 2015,Adults aged 18 to 64,Income: total,0,1359,0,1782.3,195,854,2085,938,245,1693,91,109,63,0,470,155,863,153,442.63,507,2016,341,323,0.01,0,0,1360,28,269,19,296,77,0,120,1379.78,36,0,415,0.1,0,101,50,0,0,2098,3359.14,901,0,660,2087.35,73,0,875,1076.69,0,0,0,1,157,117,484,549,999,1112,829,384,581,1,159,69,219,56.42,287,831,228.72,623,1258.91,0,13,458,1092,0,156,187,54,10.67,1125,12.08,94,2003,991.8,722,0,0,833.6,191,297,46,50,320.55,0,21,1099.4,0,839,14,275,185.03,0,1651,44,957.1,352,2662,380.69,0,61,2.18,92.7,0,346,119.3,0,443,2,714,228.17,73.49,18,21,100,368.52,773,0,1362,13,4,198,52,225,0,151,148,1897,0,0,0,0.69,494,1344,57,423,11868.37,9414.3,6658.64,5443.69,2585.42,7266.51,5290.32,11998.53,5254.21,65780
