,,,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,NW,NE,YH,WM,EM,E,SE,L,SW,Eng
Long term,Age 65 and over,Physical support,Residential,Unit costs,All,581.16,480.66,487.55,485.01,455.7,498.16,513.82,470.75,471.89,502.47,435.88,557.22,461.63,387.52,467,423.79,527.06,438.3,465.83,507.15,487.87,391.47,585.72,442.07,433.9,434.1,652.53,556.07,406.92,388.83,425.94,446.16,493.18,420.41,496.73,962.06,473.28,388.6,425.21,415.2,362.91,499.31,587.99,299.21,523.57,427.59,711.32,375.99,439.51,418.95,670.97,511.21,431.15,467.82,398.47,555.6,431.59,461.14,434.66,585.06,705.97,448.31,515.28,421.87,463.24,566.94,557.56,481.19,461.38,650.91,521.56,542.81,500.9,475.13,589.44,713.77,770.21,413.28,644.14,610.96,787.66,709.81,618.65,605,611.45,736.22,737.77,510.54,658.89,604.55,414.78,514.85,528.53,1208.58,595.44,552.82,437.6,579.63,1069.9,385.35,563.94,604.32,411.07,601.34,892.15,478.87,520.35,585.19,493.85,497.63,554.48,478.15,601.83,676.63,652.1,529.34,537.37,510.15,697.33,1704.91,586.93,502.45,634.27,675.8,485.37,1195.88,508.66,677.53,488.7,647.3,496.7,464.94,744.64,531.08,413.53,430.77,505.63,572.81,492.47,417.1,451.62,430.94,944.89,530.67,392.43,968.15,681.69,557.71,565.04,718.4,492.48,432.25,466.95,500.78,488.9,491.42,516.31,626.48,542.16,616.51,597.15,533.74
Long term,Age 65 and over,Physical support,Residential,Numerator,Own provision,21333.72,0,48,0,0,478,0,0,0,0,0,4344.85,0,0,1852,1068,0,1675,589.08,637,6385,0,1169,151.14,0,0,6042,5494,79,0,0,0,0,0,0,0,0,216,0,0,0,345,0,0,626,6190.79,4312,0,0,0,0,6706.96,982.01,1541.86,0,0,0,864,3168,991,0,38,0,0,0,0,15134,3316,342,2672,0,4232.07,1768,0,0,0,0,0,0,4,950,1978.29,0,0,0,0.03,0,985.61,1536,0,0,2683,2847,5907.42,0,0,0,0,2406,0,0,0,0,0,3167,0,0,0,0,0,0,66.44,0,3273,0,0,0,0,3302.23,2852,0,0,0,0,0,1182,0,5504.11,139,13104,0,0,3818,191,0,0,0,0,0,1581,0,0,0,140,149,0,1438,0,1217,4422,751,0,33102.5,4870.85,25062.22,14291.83,27464.07,8051.61,14161.4,22089.65,21221,170315.15
Long term,Age 65 and over,Physical support,Residential,Denominator,Own provision,29366.71,0,82.21,0,0,191.43,0,0,0,0,0,423.47,0,0,2427.14,1482,0,1823,607,1040.14,6888,0,2043.14,97,0,0,8574,9046,88,0,0,0,0,0,0,0,0,209.04,0,0,0,156,0,0,734,14059.3,788,0,0,0,0,6346,1211,1636.07,0,0,0,677,2585.57,414.71,0,90,0,0,0,0,24199,6512.86,437,1611.43,0,3774.43,1990.72,0,0,0,0,0,0,0,736.14,2424,0,0,0,0,0,779.7,577,0,0,4863,4806,2468,0,0,0,0,1088,0,0,0,0,0,1581,0,0,0,0,0,0,0,0,3669,0,0,0,0,3913.14,274.7,0,0,0,0,0,936,0,4792.91,165.7,12307,52.14,0,3555.8,78,0,0,0,0,0,2183,0,0,0,115.86,371,0,86,0,1272.6,5971.1,104,0,45401.05,697.11,34027.43,12960.35,38525.44,11025.7,13935.55,13929.84,20227.56,190730.03
Long term,Age 65 and over,Physical support,Residential,Unit costs,Own provision,726.46,.,583.87,.,.,2497,.,.,.,.,.,10260.11,.,.,763.04,720.65,.,918.82,970.48,612.42,926.97,.,572.16,1558.15,.,.,704.69,607.34,897.73,.,.,.,.,.,.,.,.,1033.3,.,.,.,2211.54,.,.,852.86,440.33,5472.08,.,.,.,.,1056.88,810.91,942.41,.,.,.,1276.22,1225.26,2389.62,.,422.22,.,.,.,.,625.4,509.15,782.61,1658.15,.,1121.25,888.12,.,.,.,.,.,.,.,1290.52,816.13,.,.,.,.,.,1264.09,2662.05,.,.,551.72,592.38,2393.61,.,.,.,.,2211.4,.,.,.,.,.,2003.16,.,.,.,.,.,.,.,.,892.07,.,.,.,.,843.88,10382.24,.,.,.,.,.,1262.82,.,1148.39,838.87,1064.76,0,.,1073.74,2448.72,.,.,.,.,.,724.23,.,.,.,1208.35,401.62,.,16720.93,.,956.31,740.57,7221.15,.,729.11,6987.2,736.53,1102.73,712.88,730.26,1016.21,1585.78,1049.11,892.96
Long term,Age 65 and over,Physical support,Residential,Numerator,Provision by others,19771.79,9122,6385,7337.2,4180.23,7014,16508,5279,7580,8635,8946,29197.42,5468,10742,8885,11154,14646,18177,6481.71,16171,16204,14733,34728,14599.45,11603,8705.66,22184,2822,6417,7181,17738,9841,6644,8840,11331,14834,6170.09,7592,5653,21796.4,11867,5435,10552.63,3859,5478,50307.71,6833,6464,6480.63,6445.18,9465,31034.51,8526.49,12081.66,3742,4777.54,7262,4203,19854,11215,8293,18625,14963.65,4138,38881,14564,26662,5199,19633,6438,1282,26128.1,8589,25086,55730.6,24508,34030.18,3953,16592,4292,636,958.21,2933,2529,3887,4337.78,98905,12356.7,4222,17971,1955.87,4287,7027,4839.25,4102.56,4090.88,2370,5791,4007,2770.61,6319.53,8273.13,4856.8,4234,2905,68,3989,12327.45,5095,7025,3537,7138.88,7160.02,14113,7219.39,4881,6226,2175.71,1588.61,3167,4402,3175.96,10520,3335,1792,326,5094.5,22481.79,21460,23091,7702,4937.7,9790,1552,3546,16230,7566,14326,4904,38844,4937,20711.55,16700,25215,17,6475,6822,6736.07,4326,43433,7534,5546.28,257531.43,115651.85,211835.82,158180.86,147376.1,265524.35,192174.28,163821.78,198476.6,1710573.06
Long term,Age 65 and over,Physical support,Residential,Denominator,Provision by others,41363.57,18978,13112.36,15128,9173.21,14847.86,32128,11214,16063,17185,20524.07,59772.57,11845,27720,20564.14,27358,27788,43470,14572,32101.86,39413,37635,59244.14,33270,26741,20054.73,34682,5909,15876,18468,41644,22057,13471.86,21027,22811,15419,13037,19883.57,13294.64,52496,32700,11420,17947,12897.3,10924.43,118073.4,14880,17192,14745,15383.96,14106.54,67481.86,20843,27485.35,9391,8598.95,16826,10311,50379.57,20448,11747,41540,29040,9808.71,83932,25689,50763,11182.78,42857,12384.43,2458,52156.71,18686.14,52798,94548,34336,44183,9565,25758.26,7031.57,1277.43,1713,4741,4180.17,6357,5892,134060,25353.99,8162,29726,4715.5,8675,13876,6424,6890,7400,5415.86,9990.86,4906,7189.86,11206,13690,11815.14,7041,5225,142,7666,21065.54,10317,14117,6379,15069.14,11897,22026,11071,9221,11586,4264.81,3100.57,3255.7,7500,6321,16586,4934.86,3692,325,10015.57,36513.1,44031.3,43610,15454.29,10620,14718.7,3204,8574.86,37677.04,14963.43,25010,9958.01,94736,10931.86,48060.86,17674,47663.71,52,6688,12031,12078,8537.25,60641.9,16719,12831.32,577011.73,239971.07,450522.87,338006.98,300109.06,425662.49,366652.28,287730.34,347629.33,3333296.15
Long term,Age 65 and over,Physical support,Residential,Unit costs,Provision by others,478,480.66,486.95,485.01,455.7,472.39,513.82,470.75,471.89,502.47,435.88,488.48,461.63,387.52,432.06,407.71,527.06,418.15,444.81,503.74,411.13,391.47,586.18,438.82,433.9,434.1,639.64,477.58,404.2,388.83,425.94,446.16,493.18,420.41,496.73,962.06,473.28,381.82,425.21,415.2,362.91,475.92,587.99,299.21,501.44,426.07,459.21,375.99,439.51,418.95,670.97,459.89,409.08,439.57,398.47,555.6,431.59,407.62,394.09,548.46,705.97,448.36,515.28,421.87,463.24,566.94,525.23,464.91,458.1,519.85,521.56,500.95,459.65,475.13,589.44,713.77,770.21,413.28,644.14,610.39,497.87,559.37,618.65,605,611.45,736.22,737.77,487.37,517.28,604.55,414.78,494.18,506.41,753.31,595.44,552.82,437.6,579.63,816.75,385.35,563.94,604.32,411.07,601.34,555.98,478.87,520.35,585.19,493.85,497.63,554.48,473.74,601.83,640.74,652.1,529.34,537.37,510.15,512.36,972.76,586.93,502.45,634.27,675.8,485.37,1003.08,508.66,615.72,487.38,529.49,498.37,464.94,665.14,484.39,413.53,430.77,505.63,572.81,492.47,410.02,451.62,430.94,944.89,529.02,326.92,968.15,567.04,557.71,506.72,716.22,450.63,432.25,446.32,481.94,470.2,467.98,491.08,623.79,524.13,569.36,570.94,513.18
Long term,Age 65 and over,Sensory support,Residential and nursing care,Numerator,All,275.59,0,894,293.08,140.16,171,404,14,42,6,5,0,129,130,1178,0,344,2109,18.43,787,1321,151,0,99.83,0,275.6,1572,611,176,162,761,598,190,92,485,0,1056.85,320,138,663.2,525,183,751.29,664.08,317,3489.77,223,305,1095.7,354,1097,698.82,933.52,602.24,3,264.5,105,236,783,325,357,82,446.55,429,232,161,3944,878,216,486,49,1772.65,681,495,3098.33,829,1219.44,77,226,172,30,0,0,0,0,215.58,0,304.53,50,972,266.5,158,407,1103.99,233.86,0,0,72,42,42.76,74.97,0,311,660,1251,8,60.75,312.08,0,217,91,98.54,467.65,192,376.65,424,413,17.82,124.22,98,377,417.68,196,49,537,0,173.02,1606.1,2617,35,2,85.42,2882,65,0,568,67,6526,154,1089,240,1622.91,0,843,0,120,1459,76.15,83,970,860,312.61,12602.48,2098.25,8596.86,6362.62,8419.65,7047.8,10779.71,8268.96,13149.08,77325.41
Long term,Age 65 and over,Sensory support,Residential and nursing care,Denominator,All,455.43,0,1832.43,576,292.58,290.15,908,29,89,12,10.99,0,294,333,2691.71,0,4521,4825,52,1682.29,2653,364,0,240,0,806.57,1403,1105,432,423,1801,1480,459.71,203,982,1142,1645,810.14,312.85,1574,1327.71,441,1980,1775.67,599.72,7713.6,0,721,2639,696.95,2017.23,1202.57,1877,1269.38,5,472.34,183,455,1720.72,653.43,517,173,679,840.86,482,247,8050,1808.87,402,929.43,55,3402.43,1419.7,1073,5067,555,2260,141,417.14,111.28,65.14,0,0,0,0,306,2112.86,622.14,54,2036,715.2,286,724,1344.7,174,0,0,124.57,52,85.86,96,0,503.86,1004,685,15,105,547,0,437,104,1095.86,428,260,673,817,777,38.1,189.71,313.7,712,760,357,61.57,865,0,320.86,2861.19,5085.5,57,2.57,174,4006,134,0,770.96,144,1131,313.43,2669,579.85,3573,0,1229.43,0,128,2642,201.86,130.16,1814.2,1841.29,727.93,28472.78,4334.15,20676.57,12065.53,16796.43,12978.34,18025.92,12625.93,13965.87,139941.52
Long term,Age 65 and over,Sensory support,Residential and nursing care,Unit costs,All,605.12,.,487.88,508.83,479.06,589.35,444.93,482.76,471.91,500,454.96,.,438.78,390.39,437.64,.,76.09,437.1,354.42,467.82,497.93,414.84,.,415.98,.,341.69,1120.46,552.94,407.41,382.98,422.54,404.05,413.3,453.2,493.89,0,642.46,394.99,441.11,421.35,395.42,414.97,379.44,373.99,528.58,452.42,.,423.02,415.19,507.93,543.82,581.1,497.35,474.43,600,559.98,573.77,518.68,455.04,497.38,690.52,473.99,657.65,510.19,481.33,651.82,489.94,485.39,537.31,522.9,890.91,521,479.68,461.32,611.47,1493.69,539.58,546.1,541.78,1545.65,460.55,.,.,.,.,704.51,0,489.49,925.93,477.41,372.62,552.45,562.15,820.99,1344.01,.,.,577.98,807.69,498.03,780.92,.,617.24,657.37,1826.28,533.33,578.55,570.53,.,496.57,875,89.92,1092.63,738.46,559.66,518.97,531.53,467.7,654.79,312.4,529.49,549.58,549.02,795.84,620.81,.,539.24,561.34,514.6,614.04,777.77,490.9,719.42,485.07,.,736.74,465.28,5770.11,491.34,408.02,413.9,454.21,.,685.68,.,937.5,552.23,377.24,637.68,534.67,467.06,429.45,442.61,484.12,415.78,527.34,501.28,543.04,598.01,654.92,941.52,552.56
Long term,Age 65 and over,Sensory support,Residential and nursing care,Numerator,LA supported only,242.97,0,894,266.48,100.85,121,348,13,42,6,5,0,129,106,1171,0,308,1928,18.34,787,1145,151,0,95.54,0,273.04,1494,611,176,162,761,598,190,90,469,0,1027.06,301,138,663.2,525,183,751.29,660.08,309,3408.15,223,305,1095.7,337.14,1097,578.2,933.52,596.94,3,264.5,105,236,779,325,357,75,363.85,416,227,134,3627,878,204,486,49,1748.57,667,495,2812.99,684,1113.31,77,226,172,30,0,0,0,0,212.23,0,304.53,36,972,243.94,158,340,1103.99,161.71,0,0,72,42,33.89,68.99,0,311,583,1238,8,60.75,312.08,0,215,91,98.54,345.65,184,376.65,367,413,17.82,123.33,86,377,279.59,193,49,537,0,168.88,1599.04,2592,35,2,79.97,2691,65,0,462,67,6526,154,1089,240,1526.12,0,687,0,114,1427,76.15,81,970,826,312.61,12392.59,1925.33,8087.91,6130,8020.57,6552.77,10298.15,7748.99,12816.85,73973.16
Long term,Age 65 and over,Sensory support,Residential and nursing care,Denominator,LA supported only,455.43,0,1832.43,576,292.58,290.15,908,29,89,12,10.99,0,294,333,2691.71,0,4521,4825,52,1682.29,2653,364,0,240,0,806.57,1403,1105,432,423,1801,1480,459.71,203,982,1142,1645,810.14,312.85,1574,1327.71,441,1980,1775.67,599.72,7713.6,0,721,2639,696.95,2017.23,1202.57,1877,1269.38,5,472.34,183,455,1720.72,653.43,517,173,679,840.86,482,247,8050,1808.87,402,929.43,55,3402.43,1419.7,1073,5067,555,2260,141,417.14,111.28,65.14,0,0,0,0,306,2112.86,622.14,54,2036,715.2,286,724,1344.7,174,0,0,124.57,52,85.86,96,0,503.86,1004,685,15,105,547,0,437,104,1095.86,428,260,673,817,777,38.1,189.71,313.7,712,760,357,61.57,865,0,320.86,2861.19,5085.5,57,2.57,174,4006,134,0,770.96,144,1131,313.43,2669,579.85,3573,0,1229.43,0,128,2642,201.86,130.16,1814.2,1841.29,727.93,28472.78,4334.15,20676.57,12065.53,16796.43,12978.34,18025.92,12625.93,13965.87,139941.52
Long term,Age 65 and over,Sensory support,Residential and nursing care,Unit costs,LA supported only,533.49,.,487.88,462.65,344.69,417.03,383.26,448.28,471.91,500,454.96,.,438.78,318.32,435.04,.,68.13,399.59,352.69,467.82,431.59,414.84,.,398.06,.,338.51,1064.86,552.94,407.41,382.98,422.54,404.05,413.3,443.35,477.6,0,624.35,371.54,441.11,421.35,395.42,414.97,379.44,371.74,515.24,441.84,.,423.02,415.19,483.74,543.82,480.8,497.35,470.26,600,559.98,573.77,518.68,452.72,497.38,690.52,433.53,535.87,494.73,470.95,542.51,450.56,485.39,507.46,522.9,890.91,513.92,469.82,461.32,555.16,1232.43,492.61,546.1,541.78,1545.65,460.55,.,.,.,.,693.56,0,489.49,666.67,477.41,341.07,552.45,469.61,820.99,929.39,.,.,577.98,807.69,394.76,718.59,.,617.24,580.68,1807.3,533.33,578.55,570.53,.,491.99,875,89.92,807.59,707.69,559.66,449.2,531.53,467.7,650.1,274.15,529.49,367.88,540.62,795.84,620.81,.,526.34,558.87,509.68,614.04,777.77,459.62,671.74,485.07,.,599.25,465.28,5770.11,491.34,408.02,413.9,427.13,.,558.8,.,890.63,540.12,377.24,622.31,534.67,448.6,429.45,435.24,444.22,391.16,508.06,477.52,504.9,571.3,613.74,917.73,528.6
Long term,Age 65 and over,Sensory support,Nursing,Numerator,All,-0.46,0,139,55.88,34.4,54,80,2,6,0,0,0,0,21,211,0,207,484,0,207,429,0,0,0,0,35,453,182,3,8,84,130,0,13,104,0,236.05,75,23,144,104,9,312.18,66.08,118,560.9,27,14,559.84,155,415,103.78,88.11,105.55,3,57.48,39,73,125,125,246,40,193.47,110,46,78,744,253,35,64,0,297.78,174,28,275.35,456,170.96,50,85,21,5,0,0,0,0,46.46,0,0,0,299,92.13,26,22,264.14,0,0,0,39,0,32.9,74.97,0,89,493,1053,8,0,88.65,0,64,91,8.37,269.46,50,98.54,269,115,0,72.26,33,172,174.59,56,0,352,0,27.88,647.93,741,0,0,2.28,2067,20,0,205,31,1864,65,334,91,414.4,0,458,0,14,875,32.34,12,170,121,50.25,2719.04,371.28,2229,1724.39,1691.78,963.44,4778.27,3967.89,4078.27,22523.36
Long term,Age 65 and over,Sensory support,Nursing,Denominator,All,0,0,323.43,104,65.79,87.43,209,4,11,0,0,0,0,52,397.86,0,2469,1094,0,387.29,977,0,0,0,0,101.86,463,320,6,19,169,292,0,20,212,199,458,198,52.14,342,318.71,17,663,166.57,229.86,1136.6,0,22,1274.9,320.69,703.71,206.71,209,181.99,5,99.73,74,150,264.29,199.57,316,74,237,246,95,55,1461,529.14,72,108.29,0,669.43,359.7,64,538,337,304,89,156.43,52.14,13,0,0,0,0,54,55.43,0,0,492,227.1,41,42,473.7,0,0,0,72.43,0,59.86,96,0,145.71,684,400,15,0,134.62,0,106.86,104,729,158,62,184,436,188,0,137.57,156,281,311,70,0,631,0,52,1243.71,1307.7,0,0,3,2953.2,39,0,363.71,52.14,360,131.29,684,193.14,841.29,0,516.86,0,19,1609,103.43,28.01,273,194.86,104.3,5917.47,804.65,6262,2967,3349.56,1797.1,7501.17,5635.75,4184.04,38418.74
Long term,Age 65 and over,Sensory support,Nursing,Unit costs,All,.,.,429.77,537.35,522.88,617.64,382.78,500,545.45,.,.,.,.,403.85,530.34,.,83.84,442.41,.,534.49,439.1,.,.,.,.,343.61,978.4,568.75,500,421.05,497.04,445.21,.,650,490.57,0,515.38,378.79,441.12,421.05,326.31,529.41,470.85,396.71,513.36,493.49,.,636.36,439.12,483.33,589.73,502.06,421.58,579.96,600,576.35,527.03,486.67,472.97,626.35,778.48,540.54,816.34,447.15,484.21,1418.18,509.24,478.13,486.11,591.01,.,444.82,483.74,437.5,511.8,1353.12,562.37,561.8,543.37,402.76,384.62,.,.,.,.,860.29,0,.,.,607.72,405.69,634.15,523.81,557.61,.,.,.,538.46,.,549.7,780.92,.,610.78,720.76,2632.5,533.33,.,658.55,.,598.93,875,11.49,1705.45,806.45,535.54,616.97,611.7,.,525.26,211.54,612.1,561.39,800,.,557.84,.,536.23,520.97,566.64,.,.,758.34,699.92,512.82,.,563.64,594.52,5177.78,495.09,488.3,471.16,492.58,.,886.12,.,736.84,543.82,312.67,428.42,622.71,620.96,481.8,459.49,461.42,355.96,581.19,505.07,536.11,637,704.06,974.72,586.26
Long term,Age 65 and over,Sensory support,Residential,Numerator,All,276.05,0,755,237.2,105.76,117,324,12,36,6,5,0,129,109,967,0,137,1625,18.43,580,892,151,0,99.83,0,240.6,1119,429,173,154,677,468,190,79,381,0,820.81,245,115,519.2,421,174,439.12,598,199,2928.87,196,291,535.86,199,682,595.03,845.41,496.69,0,207.02,66,163,658,200,111,42,253.08,319,186,83,3200,625,181,422,49,1474.87,507,467,2822.98,373,1048.48,27,141,151,25,0,0,0,0,169.13,0,304.53,50,673,174.36,132,385,839.85,233.86,0,0,33,42,9.86,0,0,222,167,198,0,60.75,223.43,0,153,0,90.17,198.18,142,278.12,155,298,17.82,51.96,65,205,243.09,140,49,185,0,145.14,958.18,1876,35,2,83.14,815,45,0,363,36,4662,89,755,149,1208.5,0,385,0,106,584,43.81,71,800,739,262.36,9883.91,1726.96,6367.86,4638.23,6727.87,6084.35,6001.44,4301.07,9070.81,54802.51
Long term,Age 65 and over,Sensory support,Residential,Denominator,All,455.43,0,1509,472,226.79,202.72,699,25,78,12,10.99,0,294,281,2293.86,0,2052,3731,52,1295,1676,364,0,240,0,704.71,940,785,426,404,1632,1188,459.71,183,770,943,1187,612.14,260.71,1232,1009,424,1317,1609.1,369.86,6577,0,699,1364.1,376.26,1313.52,995.86,1668,1087.39,0,372.61,109,305,1456.43,453.86,201,99,442,594.86,387,192,6589,1279.73,330,821.14,55,2733,1060,1009,4529,218,1956,52,260.71,59.14,52.14,0,0,0,0,252,2057.43,622.14,54,1544,488.1,245,682,871,174,0,0,52.14,52,26,0,0,358.14,320,285,0,105,412.39,0,330.14,0,366.86,270,198,489,381,589,38.1,52.14,157.7,431,449,287,61.57,234,0,268.86,1617.48,3777.8,57,2.57,171,1052.8,95,0,407.25,91.86,771,182.14,1985,386.71,2731.71,0,712.57,0,109,1033,98.43,102.15,1541.2,1646.43,623.63,22555.31,3529.5,14414.57,9098.53,13446.87,11181.24,10524.75,6990.18,9781.84,101522.78
Long term,Age 65 and over,Sensory support,Residential,Unit costs,All,606.14,.,500.33,502.54,466.34,577.15,463.52,480,461.54,500,454.96,.,438.78,387.9,421.56,.,66.76,435.54,354.42,447.88,532.22,414.84,.,415.98,.,341.42,1190.43,546.5,406.1,381.19,414.83,393.94,413.3,431.69,494.81,0,691.5,400.24,441.1,421.43,417.24,410.38,333.42,371.64,538.04,445.32,.,416.31,392.83,528.89,519.22,597.51,506.84,456.77,.,555.6,605.5,534.43,451.79,440.66,552.24,424.24,572.57,536.26,480.62,432.29,485.66,488.38,548.48,513.92,890.91,539.65,478.3,462.83,623.31,1711.01,536.03,519.23,540.83,2553.26,479.48,.,.,.,.,671.13,0,489.49,925.93,435.88,357.23,538.78,564.52,964.23,1344.01,.,.,632.88,807.69,379.07,.,.,619.86,521.88,694.74,.,578.55,541.8,.,463.44,.,245.79,734.02,717.17,568.74,406.82,505.94,467.7,996.55,412.18,475.64,541.4,487.8,795.84,790.6,.,539.83,592.39,496.59,614.04,777.77,486.2,774.13,473.68,.,891.34,391.91,6046.69,488.64,380.35,385.3,442.4,.,540.3,.,972.48,565.34,445.09,695.06,519.08,448.85,420.69,438.21,489.29,441.77,509.78,500.33,544.16,570.22,615.3,927.31,539.81
Long term,Age 65 and over,Sensory support,Residential,Numerator,Own provision,180.89,0,0,0,0,7,0,0,0,0,0,0,0,0,74,0,0,0,0,0,351,0,0,0,0,0,382,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,215.2,0,0,0,0,0,75.64,45.42,49.5,0,0,0,66,73,0,0,0,0,0,0,0,1207,127,0,20,0,246.04,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,2,57,268.08,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,51.96,0,0,0,0,0,0,0,0,68.37,44,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,150,0,0,416.09,7,1020,309.56,1647.04,68,269.37,370.04,188,4295.1
Long term,Age 65 and over,Sensory support,Residential,Denominator,Own provision,249,0,0,0,0,2.86,0,0,0,0,0,0,0,0,104,0,0,0,0,0,377,0,0,0,0,0,198,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.86,496.7,0,0,0,0,0,71.57,56,52.14,0,0,0,52,62.29,0,0,0,0,0,0,0,2310,248.43,0,12,0,135.29,52.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,74,112,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,52.14,52,0,0,0,0,0,0,0,67.86,52.3,0,0,0,229.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.29,221.9,0,0,771.56,2.86,1029,294,2757.86,79,349.86,243.14,262.19,5789.47
Long term,Age 65 and over,Sensory support,Residential,Unit costs,Own provision,726.46,.,.,.,.,2447.55,.,.,.,.,.,.,.,.,711.54,.,.,.,.,.,931.03,.,.,.,.,.,1929.29,608.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,773.4,433.26,.,.,.,.,.,1056.88,811,949.38,.,.,.,1269.23,1171.94,.,.,.,.,.,.,.,522.51,511.21,.,1666.67,.,1818.61,901.42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4500,.,.,666.67,770.27,2393.61,.,.,.,.,.,.,.,.,.,.,632.91,.,.,.,.,.,.,.,.,.,.,.,.,.,996.55,0,.,.,.,.,.,.,.,1007.48,841.3,.,.,.,683.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,943.16,675.98,.,.,539.28,2447.55,991.25,1052.92,597.22,860.76,769.93,1521.94,717.04,741.88
Long term,Age 65 and over,Sensory support,Residential,Numerator,Provision by others,95.16,0,755,237.2,105.76,110,324,12,36,6,5,0,129,109,893,0,137,1625,18.43,580,541,151,0,99.83,0,240.6,737,216,173,154,677,468,190,79,381,0,820.81,245,115,519.2,421,174,439.12,598,179,2713.67,196,291,535.86,199,682,519.39,799.99,447.19,0,207.02,66,97,585,200,111,42,253.08,319,186,83,1993,498,181,402,49,1228.83,460,467,2822.98,373,1048.48,27,141,150,25,0,0,0,0,169.13,0,304.53,41,673,174.36,130,328,571.76,233.86,0,0,33,42,9.86,0,0,222,167,148,0,60.75,223.43,0,153,0,90.17,198.18,142,278.12,155,298,17.82,0,65,205,243.09,140,49,185,0,145.14,889.81,1832,35,2,83.14,658,45,0,363,36,4662,89,755,149,1208.5,0,385,0,106,584,43.81,33,650,739,262.36,9467.82,1719.96,5347.86,4328.67,5080.83,6016.35,5731.07,3931.03,8882.81,50506.41
Long term,Age 65 and over,Sensory support,Residential,Denominator,Provision by others,206.43,0,1509,472,226.79,199.86,699,25,78,12,10.99,0,294,281,2189.86,0,2052,3731,52,1295,1299,364,0,240,0,704.71,742,435,426,404,1632,1188,459.71,183,770,943,1187,612.14,260.71,1232,1009,424,1317,1609.1,344,6080.3,0,699,1364.1,376.26,1313.52,924.29,1612,1035.25,0,372.61,109,253,1394.14,453.86,201,99,442,594.86,387,192,4279,1031.3,330,809.14,55,2597.71,1007.86,1009,4529,218,1956,52,260.71,59.14,52.14,0,0,0,0,252,2057.43,622.14,52,1544,488.1,242,608,759,174,0,0,52.14,52,26,0,0,358.14,320,206,0,105,412.39,0,330.14,0,366.86,270,198,489,381,589,38.1,0,105.7,431,449,287,61.57,234,0,268.86,1549.62,3725.5,57,2.57,171,823.1,95,0,407.25,91.86,771,182.14,1985,386.71,2731.71,0,712.57,0,109,1033,98.43,61.86,1319.3,1646.43,623.63,21783.75,3526.64,13385.57,8804.53,10689.01,11102.24,10174.89,6695.04,9519.65,95681.31
Long term,Age 65 and over,Sensory support,Residential,Unit costs,Provision by others,461,.,500.33,502.54,466.34,550.39,463.52,480,461.54,500,454.96,.,438.78,387.9,407.79,.,66.76,435.54,354.42,447.88,416.47,414.84,.,415.98,.,341.42,993.26,496.55,406.1,381.19,414.83,393.94,413.3,431.69,494.81,0,691.5,400.24,441.1,421.43,417.24,410.38,333.42,371.64,520.35,446.31,.,416.31,392.83,528.89,519.22,561.94,496.27,431.96,.,555.6,605.5,383.4,419.61,440.66,552.24,424.24,572.57,536.26,480.62,432.29,465.76,482.89,548.48,496.82,890.91,473.04,456.41,462.83,623.31,1711.01,536.03,519.23,540.83,2536.35,479.48,.,.,.,.,671.13,0,489.49,788.46,435.88,357.23,537.19,539.47,753.31,1344.01,.,.,632.88,807.69,379.07,.,.,619.86,521.88,718.45,.,578.55,541.8,.,463.44,.,245.79,734.02,717.17,568.74,406.82,505.94,467.7,.,614.95,475.64,541.4,487.8,795.84,790.6,.,539.83,574.21,491.75,614.04,777.77,486.2,799.42,473.68,.,891.34,391.91,6046.69,488.64,380.35,385.3,442.4,.,540.3,.,972.48,565.34,445.09,533.46,492.69,448.85,420.69,434.63,487.71,399.52,491.64,475.33,541.9,563.26,587.16,933.1,527.86
