,,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
Long term,Age 18 to 64,Mental health support,Total,Gross current expenditure,3084.7,1758,2331,2920.21,1624.57,1505,2081,809,2695,1872,864,3676.19,806,1863,894,2850,6960,5201,1697.68,1942,17243,1802,2643,3406.28,2053,1325.82,4034,1847,3197,1843,10567,1460,2863,2903,914,3503,2296.92,4559,2104,15374.18,5197,1782,8227.64,1021.68,3049,14164.44,2384,2443,2733.83,2875,2830,9155.49,2248.76,3118.17,3100,3583.71,1375,5095,8514,1343,3604,4380,1303.77,1674,2494,2379,6561,3478,6596,8104,168,6037.22,4495,13201,10807.95,6066,4745.24,2115,4409,275,1022,889.49,2629.03,3040,1721,1616.32,13453,2743.2,2727,4933,1682.94,1196,1001,8225.2,8719.48,4166.32,3551.15,3863,3746,2285.27,4431.57,3070.33,7694.62,5132,4555,856,1863.72,5679.26,1912,3295,3084,5461.23,3807.47,3906,9661.64,3710,1157,3906.22,4042.39,1484,1220,6415.14,5522,3218,1059,4219,2376.06,8024.59,8716,1918,1839,1005.27,4501,2141,3091,7848,4475,10124,1796,8303,2521,3458.77,6942,3021,0,3588,7644,2886.9,1989,9178,2876,2171.08
Long term,Age 18 to 64,Mental health support,Total,Gross SSMSS,3553.93,0,0,0,0,2,555,0,140,82,0,152.27,7,0,83,81,0,72,2668.54,0,0,65.78,135,3764.99,0,0,16,1949,0,0,9667,0,133,0,23,0,0,0,2104,0,0,17,8450.57,0,11.37,0,0,63,0,3364,0,0,0,183.74,0,0,0,0,0,0,0,143,17.53,0,0,0,0,112,0,0,0,0,7275,0,0,8825,0,0,0,275,14,0,112.41,0,0,0,611,371.08,0,5241,0,0,0,0,379.38,0,0,245,0,0,143.64,0,9350.71,104,4624,0,0,7355.58,0,0,0,1616.33,0,0,0,405,0,0,316.57,0,0,7.84,0,0,1344,50,0,0,0,1,0,0,0,2141,3230,230,20,0,0,0,222,0,139,3201,0,14,368.68,18.83,0,81,0,0
Long term,Age 18 to 64,Total,Nursing,Gross total cost: provision by others,2156.83,1132,825,1979.9,174.26,2970,1770,471,1146,2067,644,3635.15,658,813,580,2462,3897,6527,1406.86,1887,4947,425,2737,1014,476,767.41,1925,998,730,466,1736,532,1162,1936,825,1098,542.69,2033,1517,2415.5,3024,1349,1661.62,200.4,2226,3822.75,541,317,1745.87,1779.32,1158,6527.31,826.44,2532.89,2924,732.2,1094,3309,6515,2143,1547,3606,1257.18,1093,5207,2186,5936,3815,1143,764.5,0,4585,1884,7375,2528.97,3701,3196.03,1060,2376,542,522,292.22,792.91,289,594,371.09,2685,0,0,3150,927.48,441,710,1367.35,1060.75,588.77,1013,771,642,2617.43,1994.16,1438.21,854.84,1707,1312,50,420.68,1184.68,1899,1758,1232,2136.14,2447.11,730,867.88,734,882,1800.49,989.1,1596.75,954,589.83,1199,940,1059,201,380.6,4525.23,3279,578,218,295.43,4159,47,480,2640,1520,2121,624,3264,1330,1358.31,3060,3253,0,895,3787,1298.33,2923,1684,359,278.79
Long term,Age 18 to 64,Total,Nursing,Gross total cost: grants to voluntary org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1.53,0,0,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Total,Nursing,Gross total cost: total expenditure,2156.83,1132,825,1979.9,174.26,2970,1770,471,1146,2067,644,3635.15,658,813,580,2462,3919,6527,1408.39,1887,4947,425,2737,1014,476,767.41,1925,998,730,466,2465,532,1162,1936,825,1098,542.69,2033,1517,2415.5,3024,1349,1661.62,200.4,2226,3822.75,541,317,1745.87,1779.32,1158,6527.31,826.44,2532.89,2924,732.2,1094,3309,6515,2143,1547,3803,1257.18,1093,5207,2186,5936,3815,1143,764.5,0,4585,1884,7375,2528.97,3733,3196.03,1060,2376,542,522,292.22,792.91,289,594,371.09,2685,0,0,3150,927.48,441,710,1367.35,1060.75,588.77,1013,771,642,2617.43,1994.16,1438.21,854.84,1707,1312,50,420.68,1184.68,1899,1758,1232,2136.14,2447.11,730,867.88,734,882,1800.49,989.1,1596.75,954,589.83,1199,940,1059,201,380.6,4525.23,3279,592,218,295.43,4159,47,480,2640,1520,2121,624,3264,1330,1358.31,3060,3253,0,895,3787,1298.33,2923,1684,359,278.79
Long term,Age 18 to 64,Total,Nursing,Income: client contributions,562.48,129,81,252.2,33.79,36,198,85,184,247,101,816.16,51,105,265,187,314,1438,169.22,314,332,82,186,102.58,48,86.47,292,77.3,88,101,230,89,280,427,70,85,61.1,95,154,1451.3,541,157,622.3,156.48,340,739.4,107,69,168.96,303,15,741.37,66.15,104.78,219,0,149,310,434,88,519,400,290.36,107,572,598,686,1117,170,206,0,491.91,212,463,350.32,716,394.05,162,185,220,39,53.6,228,15,27,32.16,274,0,0,219,64.97,41,111,135.55,111.61,87,283,118,136,237.42,253.16,138.33,47.27,142,411,0,32.07,92.04,138,244,140,244.49,312.94,131,83.41,105,133,177.58,34.96,216,57,77.78,279,199,79,20,48.98,489.47,426,82,59,30.06,1337,22,49,907,125,162,43,488,170,168.03,377,335,0,153,389,200.29,268,283,135,26.73
Long term,Age 18 to 64,Total,Nursing,Income: joint arrangements,0,198,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,261.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,78,0,0,0,0,0,0,111.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.54,0,0,0,0,0,0,118,0,0,0,116.46,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,124.53,711,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Total,Nursing,Income: Income from NHS,0,0,0,200.8,0,871,363,61,523,0,44,155.38,47,0,0,400,134,362,194.69,232,0,0,1719,260.19,0,114,196,195,87,0,749,0,0,83,236,0,372.69,287,0,0,0,0,0,0,477,10.87,0,24,0,95.93,0,1069.43,340.97,68.11,0,0,0,0,454,299,62,484,330.04,400,19,10,444,0,65,0,0,0,230,0,39.75,0,225.64,0,0,0,30,0.01,94,0,50,24.65,115,0,0,34,206.19,0,0,0,0,0,342,381,0,202.97,61.19,12.89,19.35,675,0,0,0,221.35,0,46,57,10.18,0,31,34.01,164,0,428.64,0,948,154,0,0,0,0,0,6.76,77.39,0,0,0,15.62,330,0,305,48.26,132,0,172,0,134,41.89,920,210,0,383,430,78.23,992,0,0,0
Long term,Age 18 to 64,Total,Nursing,Income: other income,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,25.6,0,193.98,44.87,0,0,0,0,0,0,0,0,0,9.08,172,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,42,0,-0.51,0,0,0,221,0,0,0,0,0,0,59,17,0,0,0,0,35,0,89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,104,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.44,0,112,0,3,0,0,0,0,0,0
Long term,Age 18 to 64,Total,Nursing,Income: total,562.48,327,81,453,33.79,912,566,146,983,247,145,971.54,98,105,265,587,448,1800,363.91,546,336,82,1905,362.77,48,208.6,488,272.3,175,101,979,89,280,510,313,85,433.79,382,154,1451.3,541,160,622.3,156.48,817,1012.32,107,93,168.96,424.52,15,2004.78,451.99,172.89,219,0,149,310,888,387,581,884,629.48,679,1181,608,1130,1195,235,206,0,491.91,442,463,501.51,716,619.97,162,185,220,69,53.61,322,57,77,56.3,389,0,0,711.54,271.17,41,111,135.55,111.61,87,802,516,136,440.39,430.8,151.22,101.62,817,500,0,32.07,313.39,138,315,197,254.67,312.94,163,117.42,269,133,606.21,34.96,1268,211,77.78,279,350,468,20,55.74,691.39,1137,82,63,45.68,1667,22,354,955.26,257,162,215,488,304,268.36,1297,657,0,539,819,278.51,1260,283,135,26.73
Long term,Age 18 to 64,Total,Nursing,Net total expenditure,1594.34,805,744,1526.9,140.47,2058,1204,325,163,1820,499,2663.61,560,708,315,1875,3471,4727,1044.48,1341,4611,343,832,651.23,428,558.81,1437,725.7,555,365,1486,443,882,1426,512,1013,108.9,1651,1363,964.2,2483,1189,1039.32,43.93,1409,2810.44,434,224,1576.9,1354.8,1143,4522.53,374.45,2360,2705,732.2,945,2999,5627,1756,966,2919,627.7,414,4026,1578,4806,2620,908,558.5,0,4093.09,1442,6912,2027.45,3017,2576.07,898,2191,322,453,238.62,470.91,232,517,314.79,2296,0,0,2438.46,656.31,400,599,1231.79,949.14,501.77,211,255,506,2177.04,1563.36,1286.99,753.22,890,812,50,388.6,871.29,1761,1443,1035,1881.48,2134.17,567,750.45,465,749,1194.28,954.14,328.75,743,512.06,920,590,591,181,324.85,3833.84,2142,510,155,249.75,2492,25,126,1684.74,1263,1959,409,2776,1026,1089.96,1763,2596,0,356,2968,1019.82,1663,1401,224,252.06
Long term,Age 18 to 64,Total,Nursing,Gross total expenditure,2156.83,934,825,1779.1,174.26,2094,1402,410,347,2067,600,3479.77,611,813,580,2062,3785,6165,1213.7,1655,4943,425,1018,753.81,476,645.28,1729,803,643,466,1716,532,1162,1853,582,1098,170.01,1746,1517,2415.5,3024,1346,1661.62,200.4,1749,3549.84,541,293,1745.87,1657.8,1158,5263.9,440.6,2464.78,2924,732.2,1094,3309,6061,1844,1485,3319,918.06,521,4598,2176,5492,3737,1078,764.5,0,4585,1654,7375,2377.78,3733,2970.12,1060,2376,542,492,292.21,698.91,247,544,346.95,2570,0,0,2657.46,721.28,441,710,1367.35,1060.75,588.77,494,373,642,2414.47,1816.52,1425.32,800.49,1032,1223,50,420.68,963.33,1899,1687,1175,2125.96,2447.11,698,833.86,570,882,1371.86,989.1,544.75,800,589.83,1199,789,670,201,373.83,4323.31,2568,592,214,279.81,3829,47,175,2591.74,1388,2121,452,3264,1196,1257.99,2140,2931,0,509,3357,1220.1,1931,1684,359,278.79
Long term,Age 18 to 64,Total,Nursing,Capital charges: own provision,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Total,Nursing,Capital charges: provision by others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,127.57,0,0,3,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Long term,Age 18 to 64,Total,Nursing,Net current expenditure,1594.34,805,744,1526.9,140.47,2058,1195,325,163,1820,499,2663.61,560,708,315,1875,3471,4727,1044.48,1341,4611,343,808,651.23,428,558.81,1437,725.7,555,365,1486,443,882,1426,512,1013,108.9,1651,1363,964.2,2483,1189,1039.32,43.93,1409,2810.44,434,224,1576.9,1216.71,1143,4522.53,374.45,2360,2705,732.2,945,2999,5627,1756,966,2892,500.13,414,4026,1575,4806,2620,908,558.5,0,4093.09,1442,6912,2027.45,2612,2576.07,898,2191,322,453,237.9,470.91,232,517,314.79,2296,0,0,2438.46,656.31,400,599,1231.79,949.14,501.77,199,255,506,2177.04,1563.36,1286.99,753.22,890,812,50,388.6,871.29,1761,1443,1035,1881.48,2134.17,567,750.45,465,749,1194.28,954.14,328.75,743,512.06,920,590,591,181,324.85,3833.84,2142,510,155,249.75,2492,25,126,1684.74,1263,1959,409,2776,1026,1089.96,1763,2596,0,356,2968,1019.82,1663,1389,224,252.06
Long term,Age 18 to 64,Total,Nursing,Gross current expenditure,2156.83,934,825,1779.1,174.26,2094,1393,410,347,2067,600,3479.77,611,813,580,2062,3785,6165,1213.7,1655,4943,425,994,753.81,476,645.28,1729,803,643,466,1716,532,1162,1853,582,1098,170.01,1746,1517,2415.5,3024,1346,1661.62,200.4,1749,3549.84,541,293,1745.87,1519.71,1158,5263.9,440.6,2464.78,2924,732.2,1094,3309,6061,1844,1485,3292,790.49,521,4598,2173,5492,3737,1078,764.5,0,4585,1654,7375,2377.78,3328,2970.12,1060,2376,542,492,291.5,698.91,247,544,346.95,2570,0,0,2657.46,721.28,441,710,1367.35,1060.75,588.77,482,373,642,2414.47,1816.52,1425.32,800.49,1032,1223,50,420.68,963.33,1899,1687,1175,2125.96,2447.11,698,833.86,570,882,1371.86,989.1,544.75,800,589.83,1199,789,670,201,373.83,4323.31,2568,592,214,279.81,3829,47,175,2591.74,1388,2121,452,3264,1196,1257.99,2140,2931,0,509,3357,1220.1,1931,1672,359,278.79
Long term,Age 18 to 64,Total,Nursing,Gross SSMSS,2156.83,0,0,0,0,0,89,0,38,55,0,120.84,5,0,33,135,0,111,1408.39,0,0,26.35,121,1014,0,0,16,998,0,0,1007,0,0,0,13,0,0,0,1517,0,0,0,1661.62,0,0.87,0,0,10,0,1779.32,0,0,0,0,0,0,0,0,0,0,0,105,5.14,0,0,0,0,332,0,0,0,0,1884,0,0,3701,0,0,0,542,0,0,28.91,0,0,0,110,0.02,0,3150,0,0,0,0,35.41,0,0,32,0,0,113.6,0,854.84,660,1312,0,0,1184.68,0,0,0,0,0,0,0,0,0,0,47.75,0,0,0,0,0,1059,0,0,0,0,0,0,0,0,47,480,73,8,0,0,0,36,0,124,3253,0,1,111.11,6.65,0,18,0,0
Long term,Age 18 to 64,Total,Residential,Gross total cost: own provision,1863.09,666,234,0,0,91,0,0,553,722,214,786.07,0,0,804,780,0,0,259.36,0,0,0,1526,3481.43,0,0,0,392,0,0,1022,0,0,0,0,0,0,866,0,0,0,0,69.52,0,0,56.46,310,0,0,0,0,11.93,849.58,0,0,4230.82,0,624,6018,312,0,696,649.7,1099,0,0,1956,64,703,63,500,649.71,684,0,0,0,0,0,10,0,0,50.79,733.75,1542,739,5.07,3706,4.84,0,344,0,373,891,903.42,3196.95,0,314.71,2012,0,0,0,0,0,0,0,0,666.39,0,0,0,508,19.56,783.04,2,736.99,3068,0,2632.81,394.97,1087,1526,0,0,2346,0,942,2042.46,5099.94,2756,445,1301,0,1008,258,0,2537,4263,0,0,0,0,0,208,8154,0,0,720,0,0,28,0,863.76
Long term,Age 18 to 64,Total,Residential,Gross total cost: provision by others,11948.81,14600,10196,4491.8,3715.08,6863,17313,2229,8653,5463,6220,12525.09,3170,5928,8154,9926,22164,14985,5526.11,15220,22662,14476,15796,15746.72,4679,3973.36,20139,5463,2622,5356,11449,1524,6732,2912,6844,2048,5569.74,3629,3453,9991.4,4831,3768,12987.84,2623.48,6493,25492.98,3323,3675,10715.74,10233.17,17890,59349.94,13624.22,13868.79,12103,10385.75,6377,10840,30971,5779,12621,25978,12141.59,9252,20054,27552,29197,9468,25619,13833.9,1593,35246.99,20525,63793,47474.01,23585,22639.17,7035,26420,6486.73,2848,6392.89,9848.88,8438,9112,8920.48,79522,6187.81,11279,23515,7544.09,9058,11663,9354.16,17794.57,13178.88,11431,8687,6782,15132.42,16684.86,18173.34,15310.24,20519,6613,414,3437.01,21386.2,11263,16032,15878,25159.41,22604.92,11376,16247.95,8875,11925,15951,9930.69,9377,8384.16,9014.58,8979,11598,10651,12799,8259.43,71587.56,39263,13406,7261,4442.79,54579,7543,11989,38361,13465,35422,15936,82879,16654,25682.36,36981,22222,0,10037,25570,11467.38,17345,28108,9644,4774.64
Long term,Age 18 to 64,Total,Residential,Gross total cost: grants to voluntary org,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,443,0,0.71,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.82,0,0,0,0,0,0,0,0,0,0,37,749.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,669.63,0,0,0,0,0,0,249,0,0,0,0,0,0,1084,0,0
Long term,Age 18 to 64,Total,Residential,Gross total cost: total expenditure,13811.9,15266,10430,4491.8,3715.08,6954,17313,2229,9206,6185,6434,13311.16,3170,6113,8958,10706,22607,14985,5786.18,15220,22662,14476,17322,19228.14,4836,3973.36,20139,5855,2622,5356,12471,1524,6732,2912,6844,2048,5569.74,4570,3453,9991.4,4831,3768,13057.36,2623.48,6493,25549.44,3633,3675,10715.74,10233.17,17890,59361.87,14473.8,13868.79,12103,14616.56,6377,11464,36989,6091,12621,26674,12791.28,10351,20054,27552,31153,9532,26322,13896.9,2093,35896.7,21209,63793,47474.01,23936,22639.17,7035,26430,6486.73,2848,6443.68,10582.63,9980,9851,8925.56,83228,6192.65,11279,23859,7544.09,9431,12554,10257.59,20991.52,13178.88,11745.71,10699,6782,15132.42,16684.86,18173.34,15393.07,20519,6613,414,4103.41,21386.2,11263,16032,16386,25178.97,23387.96,11415,17734.62,11943,11925,18583.81,10325.66,10464,9910.16,9014.58,8979,13944,10651,13741,10301.89,76687.5,42019,15850,8562,4442.79,55587,7801,11989,41567.63,17728,35422,15936,82879,16654,25682.36,37438,30376,0,10037,26290,11467.38,17345,29220,9644,5638.4
Long term,Age 18 to 64,Total,Residential,Income: client contributions,1414.16,1040,777,572,790.54,316,1788,237,649,453,592,1534.09,157,829,981,746,1455,1502,389.06,1334,310,1017,1729,1280.59,346,485.37,1805,380,298,846,1018,223,417,486,430,246,367.69,129,280,2670.7,1718,287,4224.89,406.5,353,2595.52,666,348,356.61,895,238,3423.16,541.19,728.85,607,802.06,512,648,2215,185,1452,1962,1279.63,557,1845,2695,2039,597,2245,3562,113,1450.89,1437,3318,2661.58,4990,540.69,786,1627,209,152,373.81,840,175,723,705.12,5327,374.2,844,1371,397.57,678,738,662.05,1636.28,778,579,831,270,1044.88,1226.87,909.61,557.4,1141,543,0,311.23,1211.31,825,1095,854,1798.01,1108.12,2053,826.94,612,746,1046.77,1804.6,439,626,579.96,682,1166,675,1630,934.77,4831.31,2846,1114,810,225.84,5332,745.48,877,9554,1202,1648,895,5938,1222,1713.19,2545,2048,0,936,1701,727.37,964,2898,2861,498.51
Long term,Age 18 to 64,Total,Residential,Income: joint arrangements,0,1295,0,0,0,0,0,0,2354,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,113.97,143,0,0,0,0,0,0,0,208,0,0,0,0,0,0,11,0,0,0,2269.91,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,3206,0,0,0,0,0,0,0,0,0,2143.79,0,696.96,0,0,0,0,0,0,0,0,0.21,0,0,57,3038.5,0,0,0,0,3435.06,2089,90,0,0,0,0,0,0,0,0,0,0,0,0,692,0,0,0,0,877.59,-52,0,0,0,0,0,0,0,0,173,0,0,0.16,11043,0,0,0,0,0,0,0,0,0,0,0,0,0,212,374,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Total,Residential,Income: Income from NHS,1041.62,0,0,455.5,1711.68,1964,1858,1074,0,94,78,1291.61,125,1997,264,791,862,1097,1168.92,2249,0,3009,3591,2585.03,0,373.83,4343,1153,334,319,0,259,510,150,2,140,408.85,406,0,296.9,0,118,0,0,771,269.55,734,19,1000.9,949.04,821,9723.84,2100.4,114.59,32,1452.54,0,0,2349,87,206,574,2151.59,312,47,610,2398,0,5939,1330,766,8182.8,5222,1391,940.82,405,4335.78,0,4091,0,197,229.17,47,0,208,817.29,0,225.08,0,233,556.89,336,0,0,3554.06,296,70,1224,2591,893.23,205.85,0,1478.78,2124,72,0,300,1849.33,605,0,1244,3.74,4724,473,1536.8,1361,80,1721.84,1.2,440,1386,0,0,0,0,49,194.35,377.86,0,2724,123,273.14,972,0,1059,6268,650,0,0,395,2680,1188.44,5211,7477,0,1210,1558,1198.72,0,2008,447,89.58
Long term,Age 18 to 64,Total,Residential,Income: other income,0,4,0,0,496.81,13,89,0,2,0,10,0,0,55,21,1,5,0,0,1,158,0,63,0,0,0,25,0,0,9,0,0,0,0,0,0,8.22,18,0,0,0,0,0,0,120,0,0,0,0,69.69,0,1763.77,0,0.37,26,0,0,0,122,31,0,46,41.48,367,74.62,279,93,0,2,0,0,8.26,0,337,54.65,3,24.38,0,17,0,0,0,19,146,9,-0.53,0,0,0,2097,78.78,0,0,0,81.01,0,2,304,0,0,0,35.75,0,0,143,0,0,0,0,0,0,0,3450.92,19,0,0,0,70.26,2.37,97,0,0,3,252,303,0,117.57,39.21,26,0,1,0,22,0,0,46.24,0,0,0,156,0,663.77,0,0,0,6,337,0,1,0,0,81.16
Long term,Age 18 to 64,Total,Residential,Income: total,2455.77,2339,777,1027.5,2999.02,2293,3735,1311,3005,547,680,2825.7,317,2881,1266,1538,2322,2599,1557.98,3584,468,4026,5383,3865.62,346,973.17,6316,1533,632,1174,1018,482,927,636,640,386,784.76,553,280,2967.6,1718,416,4224.89,406.5,1244,5134.98,1400,367,1357.51,1913.73,1059,14910.77,2641.59,843.8,665,2254.61,512,648,4686,471,1658,2582,3472.69,1236,5172.62,3584,4530,597,8186,4892,879,9641.94,6659,5046,5800.84,5398,5597.82,786,5735,209,349,602.99,906,321,940,1522.08,5327,599.29,901,6739.5,1033.24,1014,738,662.05,8706.4,3163,741,2359,2861,1938.11,1432.72,945.36,2036.17,3265,758,0,611.23,3060.65,1430,1787,2098,1801.75,9283.04,2545,3241.32,1921,826,2838.87,1808.17,976,2012,579.96,685,1418,1151,1679,1246.69,5248.54,13915,3838,934,498.98,6326,745.48,1936,15868.24,1852,1648,895,6489,3902,3565.4,7968,9899,0,2152,3596,1926.09,965,4906,3308,669.25
Long term,Age 18 to 64,Total,Residential,Net total expenditure,11356.12,12927,9653,3464.3,716.06,4661,13578,918,6201,5638,5754,10485.46,2853,3232,7692,9168,20285,12386,4228.2,11636,22194,10450,11939,15362.53,4490,3000.19,13823,4322,1990,4182,11453,1042,5805,2276,6204,1662,4784.97,4017,3173,7023.8,3113,3352,8832.47,2216.99,5249,20414.46,2233,3308,9358.23,8319.44,16831,44451.1,11832.21,13024.99,11438,12361.96,5865,10816,32303,5620,10963,24092,9318.59,9115,14881.38,23968,26623,8935,18136,9004.9,1214,26254.76,14550,58747,41673.17,18538,17041.35,6249,20695,6277.73,2499,5840.7,9676.63,9659,8911,7403.47,77901,5593.37,10378,17119.5,6510.85,8417,11816,9595.54,12285.12,10015.88,11004.71,8340,3921,13194.31,15252.14,17227.99,13356.89,17254,5855,414,3492.18,18325.55,9833,14245,14288,23377.22,14104.92,8870,14493.3,10022,11099,15744.93,8517.49,9488,7898.16,8434.63,8294,12526,9500,12062,9055.2,71438.96,28104,12012,7628,3943.82,49261,7055.52,10053,25699.38,15876,33774,15041,76390,12752,22116.97,29470,20477,0,7885,22694,9541.29,16380,24314,6336,4969.15
Long term,Age 18 to 64,Total,Residential,Gross total expenditure,12770.28,13967,10430,4036.3,1506.6,4977,15366,1155,6850,6091,6346,12019.55,3010,4061,8673,9914,21740,13888,4617.26,12970,22504,11467,13668,16643.12,4836,3485.56,15628,4702,2288,5028,12471,1265,6222,2762,6634,1908,5152.66,4146,3453,9694.5,4831,3639,13057.36,2623.48,5602,23009.98,2899,3656,9714.84,9214.44,17069,47874.26,12373.4,13753.84,12045,13164.02,6377,11464,34518,5805,12415,26054,10598.22,9672,16726.38,26663,28662,9532,20381,12566.9,1327,27705.65,15987,62065,44334.75,23528,17582.04,7035,22322,6486.73,2651,6214.51,10516.63,9834,9634,8108.59,83228,5967.57,11222,18490.5,6908.42,9095,12554,10257.59,13921.4,10793.88,11583.71,9171,4191,14239.19,16479.01,18137.59,13914.29,18395,6398,414,3803.41,19536.87,10658,15340,15142,25175.22,15213.04,10923,15320.23,10634,11845,16791.71,10322.09,9927,8524.16,9014.58,8976,13692,10175,13692,9989.97,76270.27,30950,13126,8438,4169.65,54593,7801,10930,35253.38,17078,35422,15936,82328,13974,23830.16,32015,22525,0,8821,24395,10268.66,17344,27212,9197,5467.66
Long term,Age 18 to 64,Total,Residential,Capital charges: own provision,46.86,10,0,0,0,9,133,0,65,21,4,-47.13,0,0,12,33,0,0,0,6,0,4.8,100,65.83,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,40.15,0,0,0,0,0,0,0,0,0,730.2,0,0.68,36.55,0,0,0,0,31,-332,0,0,5,37.91,0,0,0,0,0,6,0,0,5.69,18,0,0,0,0,0,0,0,0,6.42,30,0,0,5.07,206,0,0,56,0,-229,41,0,18.36,0,16,43,0,0,0,0,0,0,0,0,7.4,0,241,0,0,99.01,0,0,6.94,214,0,0,11,94,0,0,0,9,0,13,0,288.86,0,2,16,0,0,0,0,992,69,0,0,0,0,0,166,304,0,0,16,0,0,0,0,112.76
Long term,Age 18 to 64,Total,Residential,Capital charges: provision by others,0,0,0,0,0,0,0,-25,0,0,0,0,0,0,3,0,0,25,61.74,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,84,0,0,0,0,0,0,-194,2,0,320,0,0,24,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,437,42,0,0,0,0,0,0,0,0,0,0,5,0,0
