,,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
Long term,Age 65 to 74,Total,Community: supported living,Income: joint arrangements,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Total,Community: supported living,Income: Income from NHS,:,0,:,183.7,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,32,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,141,:,0,:,:,459.54,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,218,0,0,:,:,:,:,:,:,:,:,2.54,1441.44,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,1450.56,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Total,Community: supported living,Income: other income,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,10.62,0.13,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Total,Community: supported living,Income: total,:,0,:,414.3,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,32,:,:,:,:,:,:,:,:,:,:,:,116,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,141,:,0,:,:,459.54,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,68.98,563,0,0,:,:,:,:,:,:,:,:,36.35,1634.42,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,18.34,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,9,:,:,1480.82,:,:,:,:,:,67.16,0,:,:,:
Long term,Age 65 to 74,Total,Community: supported living,Net total expenditure,:,55,:,1397.4,:,:,:,:,:,:,:,:,241,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,40,:,:,:,:,:,:,:,:,:,:,:,461,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,1808,:,1295,:,:,2421.6,:,:,:,:,:,:,1561,:,:,:,:,:,:,:,:,:,734.42,1430,0,482,:,:,:,:,:,:,:,:,407.78,-1281.2,:,:,:,117,:,:,:,:,:,:,:,:,:,:,:,:,472.08,:,:,417.15,:,:,0,:,:,3252.08,:,:,:,:,:,:,:,:,:,:,522,:,:,831.63,:,:,:,:,:,486.39,1403,:,:,:
Long term,Age 65 to 74,Total,Community: supported living,Gross total expenditure,:,55,:,1628,:,:,:,:,:,:,:,:,241,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,40,:,:,:,:,:,:,:,:,:,:,:,577,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,1808,:,1295,:,:,2421.6,:,:,:,:,:,:,1561,:,:,:,:,:,:,:,:,:,803.4,1775,0,482,:,:,:,:,:,:,:,:,430.97,-1088.34,:,:,:,117,:,:,:,:,:,:,:,:,:,:,:,:,490.42,:,:,417.15,:,:,0,:,:,3252.08,:,:,:,:,:,:,:,:,:,:,531,:,:,861.89,:,:,:,:,:,553.55,1403,:,:,:
Long term,Age 65 to 74,Total,Community: supported living,Capital charges: own provision,:,26,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Total,Community: supported living,Capital charges: provision by others,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Total,Community: supported living,Net current expenditure,:,29,:,1397.4,:,:,:,:,:,:,:,:,241,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,40,:,:,:,:,:,:,:,:,:,:,:,461,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,1808,:,:,:,:,2421.6,:,:,:,:,:,:,1561,:,:,:,:,:,:,:,:,:,734.42,1430,0,482,:,:,:,:,:,:,:,:,407.78,-1281.2,:,:,:,117,:,:,:,:,:,:,:,:,:,:,:,:,472.08,:,:,417.15,:,:,0,:,:,3252.08,:,:,:,:,:,:,:,:,:,:,522,:,:,831.63,:,:,:,:,:,486.39,1403,:,:,:
Long term,Age 65 to 74,Total,Community: supported living,Gross current expenditure,:,29,:,1628,:,:,:,:,:,:,:,:,241,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,40,:,:,:,:,:,:,:,:,:,:,:,577,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,1808,:,:,:,:,2421.6,:,:,:,:,:,:,1561,:,:,:,:,:,:,:,:,:,803.4,1775,0,482,:,:,:,:,:,:,:,:,430.97,-1088.34,:,:,:,117,:,:,:,:,:,:,:,:,:,:,:,:,490.42,:,:,417.15,:,:,0,:,:,3252.08,:,:,:,:,:,:,:,:,:,:,531,:,:,861.89,:,:,:,:,:,553.55,1403,:,:,:
Long term,Age 65 to 74,Total,Community: supported living,Gross SSMSS,:,0,:,0,:,:,:,:,:,:,:,:,1,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,1,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,1993,0,0,:,:,:,:,:,:,:,:,0,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,23.68,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,3.12,0,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Gross total cost: own provision,:,325,:,545.82,:,:,:,:,:,:,:,:,27,:,:,:,:,:,:,:,747,0,:,0,:,:,:,:,:,:,:,:,:,:,61,:,:,:,:,:,:,:,:,:,:,:,223,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,384,:,648,:,483,:,:,1426.42,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,130.21,261,137.94,300,:,:,:,:,:,:,:,:,12.06,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,328.63,:,:,324.71,:,:,0,:,:,1147.13,:,:,:,:,:,:,:,:,:,:,0,:,:,440.85,:,:,:,:,:,664.41,397,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Gross total cost: provision by others,:,417,:,148.2,:,:,:,:,:,:,:,:,52,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,520,:,:,:,:,:,:,:,:,:,:,:,188,:,:,:,:,:,:,:,:,:,:,:,0,:,152.34,:,:,:,326,:,748,:,412,:,:,323.96,:,:,:,:,:,:,122,:,:,:,:,:,:,:,:,:,0,703,354.12,153,:,:,:,:,:,:,:,:,54.5,793.77,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,745.82,:,:,298.64,:,:,0,:,:,4741.28,:,:,:,:,:,:,:,:,:,:,79,:,:,294.91,:,:,:,:,:,606.76,1220,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Gross total cost: grants to voluntary org,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,154,0,:,0,:,:,:,:,:,:,:,:,:,:,1,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,104,0,42,:,:,:,:,:,:,:,:,8.37,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,143.33,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Gross total cost: total expenditure,:,742,:,694.02,:,:,:,:,:,:,:,:,79,:,:,:,:,:,:,:,901,0,:,0,:,:,:,:,:,:,:,:,:,:,582,:,:,:,:,:,:,:,:,:,:,:,411,:,:,:,:,:,:,:,:,:,:,:,0,:,152.34,:,:,:,:,:,1396,:,895,:,:,1750.38,:,:,:,:,:,:,122,:,:,:,:,:,:,:,:,:,130.21,1068,492.07,495,:,:,:,:,:,:,:,:,74.94,793.77,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,1074.45,:,:,623.36,:,:,0,:,:,6031.75,:,:,:,:,:,:,:,:,:,:,79,:,:,735.76,:,:,:,:,:,1271.17,1617,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Income: client contributions,:,0,:,63.5,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,1,:,:,:,:,:,:,:,:,:,:,:,41,:,:,:,:,:,:,:,:,:,:,:,0,:,17,:,:,:,:,:,1,:,57,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,5.83,0,0,15,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,11.21,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,10.86,:,:,:,:,:,497.82,12,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Income: joint arrangements,:,26,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,72.99,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Income: Income from NHS,:,24,:,209.99,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,126,0,:,0,:,:,:,:,:,:,:,:,:,:,63,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,119,:,52,:,:,1.2,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,4,0,58,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,187.03,:,:,0,:,:,0,:,:,1638.95,:,:,:,:,:,:,:,:,:,:,0,:,:,6.65,:,:,:,:,:,33.16,0,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Income: other income,:,4,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,21,0,:,0,:,:,:,:,:,:,:,:,:,:,66,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,2.55,:,0,:,4,:,:,187.87,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,5.45,:,:,9.28,:,:,0,:,:,51.97,:,:,:,:,:,:,:,:,:,:,0,:,:,11.87,:,:,:,:,:,8.16,0,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Income: total,:,54,:,273.48,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,147,0,:,0,:,:,:,:,:,:,:,:,:,:,130,:,:,:,:,:,:,:,:,:,:,:,41,:,:,:,:,:,:,:,:,:,:,:,0,:,17,:,:,:,:,:,120,:,113,:,:,264.6,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,5.83,4,0,73,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,203.69,:,:,9.28,:,:,0,:,:,1763.9,:,:,:,:,:,:,:,:,:,:,0,:,:,29.38,:,:,:,:,:,539.14,12,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Net total expenditure,:,688,:,420.54,:,:,:,:,:,:,:,:,79,:,:,:,:,:,:,:,754,0,:,0,:,:,:,:,:,:,:,:,:,:,452,:,:,:,:,:,:,:,:,:,:,:,370,:,:,:,:,:,:,:,:,:,:,:,0,:,135.34,:,:,:,:,:,1276,:,782,:,:,1485.78,:,:,:,:,:,:,122,:,:,:,:,:,:,:,:,:,124.37,1064,492.07,422,:,:,:,:,:,:,:,:,74.94,793.77,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,870.76,:,:,614.07,:,:,0,:,:,4267.85,:,:,:,:,:,:,:,:,:,:,79,:,:,706.37,:,:,:,:,:,732.04,1605,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Gross total expenditure,:,688,:,484.04,:,:,:,:,:,:,:,:,79,:,:,:,:,:,:,:,754,0,:,0,:,:,:,:,:,:,:,:,:,:,453,:,:,:,:,:,:,:,:,:,:,:,411,:,:,:,:,:,:,:,:,:,:,:,0,:,152.34,:,:,:,:,:,1277,:,839,:,:,1561.3,:,:,:,:,:,:,122,:,:,:,:,:,:,:,:,:,130.21,1064,492.07,437,:,:,:,:,:,:,:,:,74.94,793.77,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,881.97,:,:,614.07,:,:,0,:,:,4267.85,:,:,:,:,:,:,:,:,:,:,79,:,:,717.23,:,:,:,:,:,1229.86,1617,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Capital charges: own provision,:,56,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,37,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,96.9,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,18,0,13,:,:,:,:,:,:,:,:,0,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,102,:,:,28.94,:,:,0,:,:,40.37,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Capital charges: provision by others,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,4,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Net current expenditure,:,632,:,420.54,:,:,:,:,:,:,:,:,79,:,:,:,:,:,:,:,717,0,:,0,:,:,:,:,:,:,:,:,:,:,452,:,:,:,:,:,:,:,:,:,:,:,370,:,:,:,:,:,:,:,:,:,:,:,:,:,135.34,:,:,:,:,:,1276,:,:,:,:,1388.87,:,:,:,:,:,:,122,:,:,:,:,:,:,:,:,:,124.37,1046,492.07,409,:,:,:,:,:,:,:,:,74.94,793.77,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,768.76,:,:,585.13,:,:,0,:,:,4227.48,:,:,:,:,:,:,:,:,:,:,75,:,:,706.37,:,:,:,:,:,732.04,1605,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Gross current expenditure,:,632,:,484.04,:,:,:,:,:,:,:,:,79,:,:,:,:,:,:,:,717,0,:,0,:,:,:,:,:,:,:,:,:,:,453,:,:,:,:,:,:,:,:,:,:,:,411,:,:,:,:,:,:,:,:,:,:,:,:,:,152.34,:,:,:,:,:,1277,:,:,:,:,1464.39,:,:,:,:,:,:,122,:,:,:,:,:,:,:,:,:,130.21,1046,492.07,424,:,:,:,:,:,:,:,:,74.94,793.77,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,779.97,:,:,585.13,:,:,0,:,:,4227.48,:,:,:,:,:,:,:,:,:,:,75,:,:,717.23,:,:,:,:,:,1229.86,1617,:,:,:
Long term,Age 65 to 74,Total,Community: other long term care,Gross SSMSS,:,14,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,19,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,1068,0,0,:,:,:,:,:,:,:,:,19.89,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,61.5,:,:,124.43,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,440.85,:,:,:,:,:,16.45,0,:,:,:
Long term,Age 65 to 74,Total,Fairer Charging income,Income: client contributions,:,544,:,355.09,:,:,:,:,:,:,:,:,178,:,:,:,:,:,:,:,931,0,:,0,:,:,:,:,:,:,:,:,:,:,560,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,987,:,:,:,262,:,926,:,1250,:,:,822.76,:,:,:,:,:,:,510,:,:,:,:,:,:,:,:,:,0,600,315.32,144,:,:,:,:,:,:,:,:,374.35,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,152.65,:,:,0,:,:,701.04,:,:,:,:,:,:,:,:,:,:,113,:,:,194.35,:,:,:,:,:,145.32,329,:,:,:
Long term,Age 65 to 74,Total,Fairer Charging income,Income: total,:,544,:,355.09,:,:,:,:,:,:,:,:,178,:,:,:,:,:,:,:,931,0,:,0,:,:,:,:,:,:,:,:,:,:,560,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,987,:,:,:,262,:,926,:,1250,:,:,822.76,:,:,:,:,:,:,510,:,:,:,:,:,:,:,:,:,0,600,315.32,144,:,:,:,:,:,:,:,:,374.35,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,152.65,:,:,0,:,:,701.04,:,:,:,:,:,:,:,:,:,:,113,:,:,194.35,:,:,:,:,:,145.32,329,:,:,:
Long term,Age 65 to 74,Total,Fairer Charging income,Net total expenditure,:,-544,:,-355.09,:,:,:,:,:,:,:,:,-178,:,:,:,:,:,:,:,-931,0,:,0,:,:,:,:,:,:,:,:,:,:,-560,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,-987,:,:,:,-262,:,-926,:,-1250,:,:,-822.76,:,:,:,:,:,:,-510,:,:,:,:,:,:,:,:,:,0,-600,-315.32,-144,:,:,:,:,:,:,:,:,-374.35,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,-152.65,:,:,0,:,:,-701.04,:,:,:,:,:,:,:,:,:,:,-113,:,:,-194.35,:,:,:,:,:,-145.32,-329,:,:,:
Long term,Age 65 to 74,Total,Fairer Charging income,Net current expenditure,:,-544,:,-355.09,:,:,:,:,:,:,:,:,-178,:,:,:,:,:,:,:,-931,0,:,0,:,:,:,:,:,:,:,:,:,:,-560,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,-987,:,:,:,-262,:,-926,:,-1250,:,:,-822.76,:,:,:,:,:,:,-510,:,:,:,:,:,:,:,:,:,0,-600,-315.32,-144,:,:,:,:,:,:,:,:,-374.35,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,-152.65,:,:,0,:,:,-701.04,:,:,:,:,:,:,:,:,:,:,-113,:,:,-194.35,:,:,:,:,:,-145.32,-329,:,:,:
Long term,Age 65 to 74,Total,Fairer Charging income,Gross SSMSS,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Total,Total,Gross total cost: own provision,:,1406,:,545.82,:,:,:,:,:,:,:,:,73,:,:,:,:,:,:,:,3947,0,:,899.97,:,:,:,:,:,:,:,:,:,:,331,:,:,:,:,:,:,:,:,:,:,:,1322,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,5036.14,:,672,:,:,1673.63,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,1543.49,379,137.94,821,:,:,:,:,:,:,:,:,1144.94,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,897.94,:,:,429.23,:,:,0,:,:,2992.44,:,:,:,:,:,:,:,:,:,:,0,:,:,440.85,:,:,:,:,:,664.41,779,:,:,:
Long term,Age 65 to 74,Total,Total,Gross total cost: provision by others,:,8637,:,7466.8,:,:,:,:,:,:,:,:,3013,:,:,:,:,:,:,:,10326,0,:,5601.91,:,:,:,:,:,:,:,:,:,:,5514,:,:,:,:,:,:,:,:,:,:,:,3816,:,:,:,:,:,:,:,:,:,:,:,0,:,15679.34,:,:,:,:,:,19620,:,12620,:,:,19480.18,:,:,:,:,:,:,9994,:,:,:,:,:,:,:,:,:,1823.81,15655,3621.93,4249,:,:,:,:,:,:,:,:,7958.38,12190,:,:,:,466,:,:,:,:,:,:,:,:,:,:,:,:,5322.81,:,:,5911.95,:,:,0,:,:,36914.88,:,:,:,:,:,:,:,:,:,:,4356,:,:,12349.8,:,:,:,:,:,8206.08,10341,:,:,:
Long term,Age 65 to 74,Total,Total,Gross total cost: grants to voluntary org,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,177,0,:,0,:,:,:,:,:,:,:,:,:,:,1,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,176,150.97,42,:,:,:,:,:,:,:,:,8.37,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,143.33,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,148,:,:,:
Long term,Age 65 to 74,Total,Total,Gross total cost: total expenditure,:,10043,:,8012.62,:,:,:,:,:,:,:,:,3086,:,:,:,:,:,:,:,14450,0,:,6501.88,:,:,:,:,:,:,:,:,:,:,5846,:,:,:,:,:,:,:,:,:,:,:,5138,:,:,:,:,:,:,:,:,:,:,:,0,:,15679.34,:,:,:,:,:,24656.14,:,13292,:,:,21153.81,:,:,:,:,:,:,9994,:,:,:,:,:,:,:,:,:,3367.3,16210,3910.84,5112,:,:,:,:,:,:,:,:,9111.7,12190,:,:,:,466,:,:,:,:,:,:,:,:,:,:,:,:,6220.75,:,:,6341.18,:,:,0,:,:,40050.66,:,:,:,:,:,:,:,:,:,:,4356,:,:,12790.66,:,:,:,:,:,8870.5,11268,:,:,:
Long term,Age 65 to 74,Total,Total,Income: client contributions,:,1885,:,1350.69,:,:,:,:,:,:,:,:,640,:,:,:,:,:,:,:,3274,0,:,1896.58,:,:,:,:,:,:,:,:,:,:,1351,:,:,:,:,:,:,:,:,:,:,:,769,:,:,:,:,:,:,:,:,:,:,:,0,:,1890,:,:,:,:,:,4023,:,2760,:,:,:,:,:,:,:,:,:,1456,:,:,:,:,:,:,:,:,:,711.34,2342,592.97,686,:,:,:,:,:,:,:,:,1325.05,984.01,:,:,:,56,:,:,:,:,:,:,:,:,:,:,:,:,757.12,:,:,647.66,:,:,0,:,:,4680.54,:,:,:,:,:,:,:,:,:,:,667,:,:,1731.99,:,:,:,:,:,1974.21,1194,:,:,:
Long term,Age 65 to 74,Total,Total,Income: joint arrangements,:,861,:,0,:,:,:,:,:,:,:,:,22,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,19,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,21.01,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,859.42,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
